component_number,scaled_hash_forward,scaled_hash_reverse,family,source_split_code,source_split,destination_split_code,destination_split,source_row_index,raw_row_count,original_hash_forward,original_hash_reverse
20,-8225655780427937979,-3590368351404455847,0,0,train,2,test,877423,1,-1057955719479266384,-4388522673861677044
20,-8225655780427937979,-3590368351404455847,0,0,train,2,test,894773,1,8545978081636753138,-3274863077427155336
21,-8185366072546570419,-505305722301306756,0,1,validation,0,train,235724,1,-4081476911387181795,6754379436176226278
22,-8154530865470749832,4097847027592307829,0,0,train,2,test,1381728,1,-8543179102630577725,-3241175470186803238
23,-8017632825665335835,1492094606799093119,0,0,train,1,validation,877724,1,-501020018728304684,1009906934862114918
23,-8017632825665335835,1492094606799093119,0,0,train,1,validation,881799,1,5614542015712329381,-6227713399324925641
23,-8017632825665335835,1492094606799093119,0,0,train,1,validation,896063,1,9019582960499528739,-1791362114066917018
24,-7980643115253944698,-8620807534781508244,0,2,test,1,validation,231012,1,6440866176608513982,-6768553551627033817
25,-7968042198723076691,2947059518281515779,0,1,validation,0,train,350791,1,2054772968662266709,-8273198636351526117
26,-7907469582671389153,4014904089523595619,0,0,train,2,test,879550,1,1928245824843992779,6041779457090782982
27,-7902342722163211613,-9179842042257834924,0,2,test,0,train,337214,1,-8727741512129590418,8549931909172192839
28,-7747099299766028001,-5490294633483420420,0,1,validation,0,train,352782,1,8790910244760451812,1722926843273518988
29,-7642417790022571621,7293684766502495846,0,1,validation,0,train,340104,1,3480785826191681772,-1535884060245632590
30,-7640824825568338297,2383392067251301573,0,1,validation,0,train,231265,1,-7496284590738376622,-1149119895021087570
31,-7638296317071362295,-915310435682947763,0,0,train,1,validation,1437424,1,2521339392697139729,-7415276217291615993
32,-7563350837806663860,-3904052800756045641,0,2,test,0,train,336725,1,-2417651880732231594,-2840824003209181223
33,-7398229164578370586,-607815597126555959,0,2,test,0,train,341830,1,3040507048011813785,3399235419010260572
34,-7395952486660560910,-2072004043191126605,0,2,test,0,train,346522,1,-593790018911330825,6299930333350064662
35,-7299697250546554932,2352163028062961116,0,1,validation,0,train,235469,1,-6236018916117174270,-7651699188798502589
36,-7297644868459541491,-8704892625938368513,0,0,train,1,validation,1406242,1,-8990051529962792281,-6289161169056690618
37,-7277490929162970269,2280446497764434103,0,2,test,0,train,234022,1,-3059461228071913078,-2589634060713334580
38,-7197572299762043196,-7431699207603749372,0,1,validation,0,train,232835,1,1661813631400430923,-3978825973257490902
38,-7197572299762043196,-7431699207603749372,0,1,validation,0,train,233733,1,2861687168069851221,5585387506118090672
38,-7197572299762043196,-7431699207603749372,0,1,validation,0,train,235226,1,-304074623211404981,3163566726479110800
38,-7197572299762043196,-7431699207603749372,0,1,validation,0,train,236173,1,-4213717404254095983,-1920984443810737504
39,-7162739894669832434,-3637589366560255508,0,0,train,1,validation,1426394,1,-5786715627354342955,4332839445016082588
40,-6963415970116823058,-2671814158265115326,0,0,train,2,test,899744,1,5429587522770234970,-7246034505405819332
40,-6963415970116823058,-2671814158265115326,0,0,train,2,test,1401781,1,6539512564058779501,-3107151408544518800
40,-6963415970116823058,-2671814158265115326,0,1,validation,2,test,338635,1,5743702034041837272,-3455400304396372803
41,-6924717226711335827,6106596207967366280,0,1,validation,2,test,236226,1,-2485082907551473487,5868166387972547772
42,-6854758687414449958,-3228913764102178769,0,0,train,2,test,899215,1,5309777534306171736,4180000227562303682
42,-6854758687414449958,-3228913764102178769,0,0,train,2,test,1401671,1,-1864410869464502162,-6112845499715511183
43,-6658457938917634396,-729427600713187304,0,2,test,0,train,230646,1,4169365812256054117,-3294891883468446346
43,-6658457938917634396,-729427600713187304,0,2,test,0,train,232099,1,-3164550036582822132,7573468408888736004
43,-6658457938917634396,-729427600713187304,0,2,test,0,train,235446,1,2378707383348378534,5224220483796506699
44,-6647405598331632120,-3964220279101376530,0,0,train,2,test,1380354,1,3430868667025066218,-3707397862414103753
45,-6602032412564624065,5731643183509148247,0,0,train,1,validation,888856,1,-90921920372530527,-4422641139058733289
46,-6354902709668188477,1671463572298595226,0,0,train,2,test,885756,1,1713820337684433114,-4659717511423642255
46,-6354902709668188477,1671463572298595226,0,0,train,2,test,899784,1,-4265888495977976075,-679980567199249408
47,-6143372693028064753,3651903701905023695,0,2,test,1,validation,232407,1,8717463662239556494,6120231173004288632
48,-6087841237275851502,-7276606942350001308,0,0,train,1,validation,898261,1,-1327846588860147805,-9150770374379554634
49,-6066716953852258545,-4246670133562647825,0,0,train,2,test,898498,1,-2807426756910620351,9062099681449530568
50,-5936258297305216703,3010743213977982898,0,0,train,2,test,1406644,1,8916742462163343160,-767490591129006015
51,-5916630001883998710,8846700036925804891,0,2,test,0,train,343477,1,-1554799328743191331,-9117087977257092959
52,-5898629080251284166,1164937486824139006,0,2,test,0,train,349399,1,-5730772229725000144,3890851762425495802
53,-5873932041175321441,2624865170514292961,0,2,test,0,train,347817,1,-6102989633812336695,8277612710687569290
54,-5864086608784574484,9109956732341544622,0,0,train,1,validation,1389132,1,-4897861204887851458,-5283798790501822816
55,-5803803432082443971,-7276830533984823254,0,0,train,2,test,1418215,1,2387365094041261484,-1508486915412063215
56,-5793724807298152718,2452718520525612447,0,0,train,1,validation,1442836,1,1422565157510161948,-3864057217308341203
57,-5734403628056057181,-5084475198046555510,0,1,validation,0,train,234693,1,3126816203840392495,-8602039310662399385
57,-5734403628056057181,-5084475198046555510,0,1,validation,0,train,235884,1,-8830459413132574920,-8846602175596546479
58,-5612702877132409391,1311647396493618364,0,1,validation,0,train,235953,1,412046474885236536,-6442219704988211838
58,-5612702877132409391,1311647396493618364,0,2,test,0,train,232519,1,5384693970160269661,7645934462319798071
59,-5571494317575776478,-8313329636247715068,0,2,test,0,train,230591,1,4987422930033907186,-526506660549246312
60,-5525034523943678417,-4869577420404735157,0,0,train,1,validation,1384771,1,-8901041315851342655,-5207988448789618735
61,-5481144159420549406,7409501503951549411,0,2,test,0,train,234417,1,-295711531130374939,-8492841177347035091
62,-5473490448018318091,-5391966978153705547,0,0,train,2,test,900426,1,-5397088820471968814,-2950493566620848444
62,-5473490448018318091,-5391966978153705547,0,1,validation,2,test,234262,1,-653732581133906782,8811892002447722248
62,-5473490448018318091,-5391966978153705547,0,1,validation,2,test,236278,1,5964981786025558712,8615288068123782364
63,-5444730417515752777,-577967357064057144,0,0,train,2,test,1453835,1,-6778208871417369889,-7384363388049206905
64,-5420708313494772957,2580375841035332496,0,0,train,2,test,1380566,1,4572951212058968093,5263256384214792929
65,-5384374658838272264,3720144786509281932,0,0,train,2,test,1396010,1,-2452950272836671766,-6363372224251049281
66,-5335445884041721316,-1951367025988416474,0,2,test,0,train,234128,1,-4961920605131844677,5725450650843008455
67,-5243434465447170882,4652676165660608676,0,1,validation,0,train,347117,1,-6925025834282034057,6641754890739443160
68,-5060569318245448105,8057129879896377277,0,0,train,1,validation,879995,1,-3020163287121805637,8647123279528961121
69,-5002105692376364052,7707647309370171389,0,0,train,2,test,1439769,1,7991989923962275572,7612480086799209143
70,-4866195786147636608,-8947016192547020457,0,1,validation,0,train,346893,1,5241014839074484234,-8999100767264507907
71,-4860134604413465819,2966911288964484248,0,1,validation,0,train,236040,1,5465601444578053266,-5228383582552729657
72,-4798385175604510038,-3032207088638266149,0,2,test,1,validation,232110,1,2019047677907280025,5751963067321709370
73,-4721336814521668861,-2613836516723204266,0,2,test,0,train,230818,1,3273883739343634008,2310670038710394325
74,-4587355186745971001,-4248597924835812614,0,1,validation,2,test,232825,1,-9108932092583380814,-420295290027645546
75,-4570088869431838491,-4919798231240555772,0,0,train,1,validation,898840,1,-3688263857923126860,-4014622388482561510
75,-4570088869431838491,-4919798231240555772,0,2,test,1,validation,235361,1,-3056231015919766253,5912132089471053666
76,-4486945843494689548,-3681477182870950158,0,0,train,1,validation,882006,1,-6125268333012435978,2523378631578811129
76,-4486945843494689548,-3681477182870950158,0,0,train,1,validation,893421,1,5177539602172520378,-2897778054940682241
77,-4485194492637327395,-1322578171511442974,0,1,validation,0,train,351684,1,1476597891732996740,-5786991244579892752
78,-4363401664638995338,8073649807599548040,0,0,train,2,test,896118,1,6967852010474712553,-7679831909167041139
79,-4288946597757695442,2372005672525483034,0,0,train,2,test,897696,1,-6264126788406622119,-4221505615905251131
80,-4252120451062097081,-5818821458190181066,0,0,train,1,validation,1372423,1,-1626180535173543507,-1800306383638770046
81,-4237902773104726819,-8686120376110331711,0,1,validation,0,train,343435,1,1740126914198441741,-3085455396494269085
82,-4231328924358486048,-3969936779834554392,0,2,test,0,train,234233,1,6511929658980534639,-8591515401204672153
83,-4145210552099420876,6756281216947603928,0,0,train,2,test,1426403,1,-5322088319724551461,-4474039160538838601
83,-4145210552099420876,6756281216947603928,0,0,train,2,test,1430219,1,-9161651728860039429,8342081182208868230
84,-4139847633072450034,8273540679045148994,0,0,train,1,validation,1397910,1,-5507708270275895610,-2412771721034769291
84,-4139847633072450034,8273540679045148994,0,0,train,1,validation,1424789,1,-8573957455572446493,-3478841714363126947
85,-4095022290319293575,-1739903486841525313,0,1,validation,0,train,231874,1,2060713942798149221,7313574612822644942
85,-4095022290319293575,-1739903486841525313,0,1,validation,0,train,344266,1,-477501398525163199,784146006002317206
86,-3997005188479780930,5193705166601999196,0,2,test,0,train,233211,1,-7487082630841187536,1485961322002826410
87,-3959354091184892896,4486621250774788368,0,2,test,1,validation,232428,1,8251597648132505569,-466007708145991869
87,-3959354091184892896,4486621250774788368,0,2,test,1,validation,346546,1,-5117439901023384316,2381257052202328415
88,-3900146856075367004,-8057014119304589208,0,0,train,2,test,889001,1,-6402029996115043692,-6851188321004807776
88,-3900146856075367004,-8057014119304589208,0,0,train,2,test,898017,1,-4587026102266353749,-7406154931326270181
89,-3664302703068586732,-445272923407410638,0,1,validation,0,train,338408,1,3156967059707950170,1118763571123318510
90,-3655421104247333687,8944814767961211085,0,0,train,1,validation,1440944,1,-4187966527086926996,1389967104523444187
91,-3653280920624840151,-609200623618616589,0,1,validation,0,train,351443,1,7456957059281582951,2810434963672995379
92,-3631027894027560507,4574672315355118310,0,2,test,0,train,337853,1,-4662987068864680099,2009596011158407002
93,-3560399290911394317,-573775086307568713,0,0,train,1,validation,1447719,1,4870192716382444727,4526032327280542528
93,-3560399290911394317,-573775086307568713,0,2,test,1,validation,354499,1,-6291378173225897961,-5774551953325873021
94,-3483550416883782371,-1733417901316218754,0,1,validation,0,train,339039,1,-5524696095528892242,7690375185517693671
95,-3417457252626319196,9150010306039462205,0,1,validation,0,train,235337,1,4899783719621342124,7672067669730041723
96,-3366398753138914703,7668347456691617778,0,0,train,1,validation,886741,1,-3898879435480681600,-8560665138830388930
96,-3366398753138914703,7668347456691617778,0,0,train,1,validation,1396047,1,-7170454623209775867,9090757183769203252
97,-3311491691071639661,-7959670007081167366,0,0,train,1,validation,1375334,1,5350203235835107153,7203705110190831497
98,-3280714801574847721,-8150734337628672355,0,2,test,0,train,347405,1,-30111745276989698,-6938312096664064333
99,-3096766577424783912,-1097588060085469075,0,2,test,0,train,342763,1,7572153519247688018,800346935627840052
100,-2980130443761925102,-4890570236840500048,0,1,validation,0,train,233929,1,535467165867027641,2977976494669487095
101,-2944731285385987119,5771479272013775513,0,1,validation,0,train,338555,1,6092290068041602590,8699475339336603200
102,-2735741532526675413,376033396871444034,0,1,validation,0,train,347494,1,-2758558177788671033,5137356150451845746
103,-2693146546549222173,-6074013824256788974,0,0,train,2,test,1445933,1,-4708610576719109357,163983094197595726
104,-2640558321247415541,3365635434952781690,0,2,test,0,train,343281,1,-8129774594946307784,-7084347117808599501
105,-2553781863988756957,3466824293985261067,0,0,train,1,validation,889828,1,2777899892800617190,5621524214892775171
106,-2523608333923919435,4774559314094719819,0,0,train,1,validation,1381752,1,8960387825086431380,965105784988961660
107,-2517756640349883944,-1347688259666187701,0,1,validation,0,train,234042,1,5570408765407009737,-3673880360149486086
107,-2517756640349883944,-1347688259666187701,0,1,validation,0,train,344576,1,8372984458598628526,-3366877437603927417
108,-2432516721856564957,-5618878039618573058,0,0,train,2,test,510321,1,-4864814711500777921,-1414564179224317462
109,-2346596173495573985,-967382890038754495,0,0,train,1,validation,894346,1,-4621477619663686708,8909656283904710012
110,-2327569243548294279,-5142363137864060556,0,2,test,0,train,234122,1,-7551163599710580883,2335118127512786248
111,-2294742335488780151,-5459952639428266986,0,0,train,1,validation,900649,1,7059337673133934289,6756218518216234532
112,-2152840236928209543,6934768959506344806,0,1,validation,0,train,342318,1,-8206179357763753094,1220529754233744439
113,-2126928594093377025,4880010778116098198,0,0,train,1,validation,1370712,1,8059778429740246397,-9001131784838480779
113,-2126928594093377025,4880010778116098198,0,0,train,1,validation,1375224,1,-3649207351857546601,6353695336648288480
113,-2126928594093377025,4880010778116098198,0,0,train,1,validation,1389802,1,-558570803355508770,-5757221148218686945
113,-2126928594093377025,4880010778116098198,0,0,train,1,validation,1393707,1,-362005487912118506,-8628971090049431978
114,-2033095989969378171,4061400412173600914,0,0,train,2,test,1420604,1,864589659670799707,-1410462799554030965
115,-1948265647657663718,-5828921681047943495,0,1,validation,0,train,341758,1,263424532812584014,-1361915158565330644
116,-1898807618789776435,1776474414766044798,0,2,test,0,train,230733,1,5735562545011766062,2251240020908434474
117,-1857818483156557044,-6948713928677923222,0,1,validation,0,train,353345,1,753817286379132373,-3643159874481754640
118,-1845311769601122443,-5681331290030743078,0,2,test,0,train,343503,1,-6369987864875845687,5128321489449852212
119,-1794398468372087001,-822042683786216183,0,2,test,0,train,348298,1,-4326298972156739721,6627538658072045308
120,-1738721838658004879,-8240095173886618718,0,0,train,2,test,895689,1,-2142348373243234159,-3883045292842884500
121,-1599600806593050743,-3956305105618443653,0,1,validation,0,train,337678,1,-4507262839588914285,6757286975291407779
121,-1599600806593050743,-3956305105618443653,0,1,validation,0,train,340854,1,-3858100578512809734,-8061722833992848025
121,-1599600806593050743,-3956305105618443653,0,2,test,0,train,339125,1,6965824373654362891,3467089415197502814
122,-1580037270845624785,5570731705278540438,0,2,test,0,train,230749,1,-8465043033285189017,-6013518426311195383
122,-1580037270845624785,5570731705278540438,0,2,test,0,train,336677,1,-6597171032380452699,177248138766906981
123,-1453088454505146336,-4966692528702988692,0,0,train,2,test,1450600,1,1677524315411768835,-2173597962107752999
124,-1336248271076594266,6362159960618639542,0,1,validation,2,test,235037,1,-3929059453376077268,1201012714015681426
125,-1335507342413462194,-2896661918193665230,0,0,train,2,test,1376969,1,7034496059480738245,7353958799571443082
126,-1265618383923990990,-1624493997774761954,0,2,test,0,train,231763,1,-9049092539847006297,3298254152873389580
126,-1265618383923990990,-1624493997774761954,0,2,test,0,train,336220,1,5927930994923111258,-6695993690918802176
127,-1258092914407436190,-1473383004015343028,0,0,train,2,test,1406088,1,-1809690189334722713,-7724418686490874110
127,-1258092914407436190,-1473383004015343028,0,1,validation,2,test,234951,1,-8146942688942840252,689983023732287070
128,-1050502433995930518,-2822733966488313454,0,0,train,1,validation,895175,1,3897139645685003006,-6995503992744957168
129,-1048459461358730380,-826474346612468690,0,0,train,1,validation,901038,1,-5634965313466271581,-7362597353505998526
130,-1026765311100853199,6592404361828348405,0,0,train,2,test,896252,1,1696147461226079851,8648619442116900255
131,-944910101851252708,-4782608276847684594,0,2,test,0,train,233235,1,7557930941055256644,3081715968954885520
131,-944910101851252708,-4782608276847684594,0,2,test,0,train,235738,1,-584816254196831821,-2185749626767921288
132,-934172475321649316,8605760967611468472,0,0,train,2,test,1436150,1,3726139088080019857,8503351440507233866
133,-842822480376136984,6938458845704883384,0,1,validation,0,train,235437,1,-7555689508645071429,-3112729781800454368
134,-706547528730905313,-4529452795494557295,0,2,test,1,validation,233691,1,2522354720150234555,7213642151288640790
135,-684681486271225897,2247060808746181681,0,1,validation,0,train,337628,1,-765496803795269399,-5133000929154232306
136,-610706534406004873,3011415758614506917,0,0,train,1,validation,901107,1,-8949976519461351397,636916103585293428
137,-609031207109879179,-3699728244337761737,0,0,train,2,test,890246,1,-4059848229398524330,291699137975808875
137,-609031207109879179,-3699728244337761737,0,0,train,2,test,895116,1,-7018636591497413102,5927169449419291094
138,-463582847480788562,-9078147497935855377,0,1,validation,0,train,235929,1,8558317423619677798,1419333557218492294
138,-463582847480788562,-9078147497935855377,0,2,test,0,train,335877,1,5368256252039805134,3543048733932973267
139,-428066355168998799,-4051424105035811137,0,2,test,1,validation,337459,1,-4031771694976893939,-9040478303698659590
140,-361414673961450561,8960647470014614508,0,0,train,1,validation,1405273,1,3507122673958761820,6875048452519240123
141,-313119252290834802,-8669285363229927921,0,0,train,2,test,1384722,1,-2456065614208238066,-6487014794878412926
142,-264039915985379863,-5757296867413737346,0,2,test,0,train,338727,1,5686916081627858155,3149299860097225404
143,-254389030949733548,8894676303156496913,0,0,train,2,test,1426863,1,-7557867558017737066,3307916549819365710
144,-238956415131453478,1254434692211266291,0,1,validation,0,train,348062,1,4741862556747559528,-7747559452818888813
144,-238956415131453478,1254434692211266291,0,2,test,0,train,234525,1,-8834757030093183243,-5270845164054568769
145,-147014969010482414,7899387352140508366,0,0,train,1,validation,1368962,1,-6282605946030744463,-8174760241752399795
145,-147014969010482414,7899387352140508366,0,0,train,1,validation,1380676,1,3767002535396498304,7473536278047128691
146,14037162721456141,4548857117281050214,0,2,test,0,train,234292,1,6433743164973073133,5651187681526983377
147,50484496263365722,-3745034781640717640,0,2,test,0,train,230804,1,-4569760094970712112,-6401319804937833261
148,71011139611575338,8419760702419797516,0,1,validation,0,train,338021,1,-2849336069501883789,5837297766694711756
149,190266755504898162,-7127554029797526892,0,2,test,0,train,234423,1,-8237265808577939012,3943296141079959124
149,190266755504898162,-7127554029797526892,0,2,test,0,train,345853,1,4134382030113176434,-7588747238552341965
150,258525535653100457,-1098739689922457256,0,1,validation,0,train,353597,1,4391840314961196563,-578591235432426692
151,309665091190303595,6556610905051862498,0,0,train,1,validation,1369022,1,-4925426596100323306,-2374952895406604289
152,318703226889688964,-688593147320415470,0,1,validation,0,train,232949,1,-2613251961973111460,-2339413170546692937
153,371106866584768506,-1323907518981678206,0,0,train,2,test,1385358,1,1004268135344552811,8125884796529139334
154,397664013011366614,-430581749919906591,0,1,validation,0,train,236034,1,2756799408925800221,-7189088599903029485
155,430018731192165697,-1889975863289664556,0,0,train,2,test,1421670,1,3839348199683099521,-1994810497071331221
156,454382446374173456,7586042366040947448,0,1,validation,0,train,236424,1,5685539708302028330,-2184199032415259850
157,522828533965974107,-7121833981628430765,0,0,train,1,validation,897854,1,1748686345197700975,-4242271014783517712
158,533766485585948211,9195875127370883515,0,0,train,1,validation,1450898,1,7409414586636600420,-2966164289901593343
159,545306088242111948,-7360416477496267898,0,1,validation,2,test,233111,1,-11978014141409193,-8077492426298771019
159,545306088242111948,-7360416477496267898,0,1,validation,2,test,233971,1,921230345146894509,-7516882172589303447
160,574976628197088005,-8562248040981960603,0,0,train,2,test,901190,1,8448975557959898924,1059017751243533957
161,613538504090911716,4256565440980281757,0,0,train,2,test,1445220,1,-2587858936280987314,-217469198860239903
162,623343803716723460,-1642061048979771598,0,0,train,1,validation,892551,1,520516443440642279,-3621659456590014154
163,658027697855582456,3059487682906879144,0,1,validation,0,train,231807,1,-6099734215133995754,2367846053171198758
164,671852449130100217,-2563443001252650506,0,0,train,1,validation,508113,1,8388240202198979442,-5506195293599074905
165,713888858643714588,490156107575869152,0,1,validation,0,train,234334,1,-652928533111005548,-5871129090073297847
166,773592501240872638,5790118611284967736,0,2,test,0,train,230755,1,-7396294738008976861,6524922006050809815
167,898938264311254221,-8915555360796900712,0,0,train,2,test,885503,1,-6250644537152473449,-538399295562207408
168,905577851514662925,6410175283197462054,0,0,train,1,validation,890202,1,-1626774408677458443,-4546495472534181193
169,1053621399201083655,-6794218447700337469,0,2,test,1,validation,152879,1,-2273376652610715132,-4857442068248863395
170,1077834722532605555,-2169948434807646914,0,2,test,0,train,230700,1,3875120995544761478,5870916917289899979
171,1116480405500922600,-7638061045446914314,0,2,test,0,train,234518,1,-3198600421311226392,-6841174473550298597
172,1137092008597219104,-4835040417059587417,0,0,train,2,test,1367188,1,1061173792083858094,3448730186753891262
173,1160935575922791870,3832192084143067468,0,0,train,2,test,1412481,1,1874793638509703964,-8996513793176749354
174,1172580043567491289,-4598743990719728601,0,1,validation,0,train,233766,1,1842149774602415970,7725417878493312180
174,1172580043567491289,-4598743990719728601,0,1,validation,0,train,235155,1,-8941664937989775073,-3634587446278860363
175,1241049860830111828,-6392380509835969335,0,0,train,2,test,885864,1,-1223688005484725536,-3020727593967184382
176,1260590578191663523,-96935293326287907,0,0,train,1,validation,1449258,1,6020817062645616606,-1716236774479482072
177,1323986624499844382,524677225121000133,0,0,train,1,validation,893701,1,-7054414138401513401,-2702357537624874999
178,1325281540449216410,-1250189881649168097,0,0,train,2,test,886174,1,-3702883592674943335,-1375531714286595383
178,1325281540449216410,-1250189881649168097,0,0,train,2,test,1396401,1,-8321864171584268110,-8646260921534688905
179,1516079259344746304,4589934613698408876,0,1,validation,0,train,343861,1,7462419425579639542,7806034185114050543
180,1579251246743849232,6240032657458894747,0,0,train,2,test,1367146,1,-7216502753718904287,7099574609376808077
181,1608066145662548227,-1936624566998737879,0,2,test,0,train,231805,1,9066887558675605981,-6281537860769262746
181,1608066145662548227,-1936624566998737879,0,2,test,0,train,233064,1,-9053043210865088387,8339881838906082576
182,1627366363800538937,5237097267020800036,0,0,train,2,test,1369464,1,9003321066799215133,-4585776206164941235
183,1631883692261096102,4333594432619757604,0,2,test,0,train,231806,1,-6159421211259711464,-5944495275126808839
184,1692180458954973453,4723458769753552085,0,0,train,1,validation,882940,1,2034033561963759773,1581929980524139858
185,1792986869698603262,5031442535396129837,0,0,train,1,validation,897508,1,-2857942872091304605,-1901882533494365017
186,1803361989264036201,6529058058496243283,0,2,test,0,train,231974,1,7740747409673881568,1292682303033384965
186,1803361989264036201,6529058058496243283,0,2,test,0,train,232489,1,-2679519534530858589,-3538404362803487658
187,2177024370129222040,-2034036337853642098,0,0,train,2,test,880501,1,2454909288391240280,-1160919040239573126
187,2177024370129222040,-2034036337853642098,0,0,train,2,test,889677,1,-9131625217755547335,7270836418030721373
188,2206280443770957837,8890222423851139786,0,1,validation,0,train,347584,1,-4038624106528176349,-7339196272649419036
188,2206280443770957837,8890222423851139786,0,2,test,0,train,336940,1,6348635644848054700,7288809500757791935
189,2314413488786178751,5280210489666734123,0,1,validation,0,train,235778,1,9040905317208021322,-6164479526949231414
189,2314413488786178751,5280210489666734123,0,1,validation,0,train,236165,1,-2826433078249803083,6644946349593443690
190,2401074678194196864,8402272873747424558,0,1,validation,0,train,337397,1,113304421562187859,-5963721953285948981
191,2646379087143389468,498461944099535299,0,0,train,2,test,1371730,1,-8620114958397351716,-2789387685023696425
192,2797615141630814579,6468924436593450380,0,0,train,2,test,1400694,1,707650980894169111,-7177438295749189995
193,2820703126113659808,964941045792526728,0,0,train,2,test,897883,1,-8115191592904114816,8541605189953566262
194,2821579165428746940,-7341549097951513774,0,0,train,1,validation,881220,1,-4617902167275318986,5720328768193517591
194,2821579165428746940,-7341549097951513774,0,0,train,1,validation,893576,1,9062569061837063916,8095807814464500493
194,2821579165428746940,-7341549097951513774,0,0,train,1,validation,1414942,1,7430118852227764578,6032983468917572528
195,2937042125431990120,8161432614621946887,0,1,validation,0,train,236205,1,-4187753310988825589,-5231325800298991209
196,2939104431811045705,3142173873972086315,0,0,train,1,validation,886416,1,3851613490791245080,-6279546333779872216
197,3109476640272981448,-1856348360441107719,0,2,test,0,train,341556,1,-7124255636547807897,3742092998926996705
198,3227419170331404434,-5811855200687956920,0,1,validation,0,train,231601,1,5158513788610073922,1520903785967899729
198,3227419170331404434,-5811855200687956920,0,1,validation,0,train,236270,1,5034504576426773683,304114502656745711
198,3227419170331404434,-5811855200687956920,0,1,validation,0,train,346852,1,2117583355359648925,532080526000384241
199,3393783818443065958,5250520551609874363,0,0,train,2,test,1412842,1,6793292411980122120,-6449245625144267528
200,3434641873131355306,6868623458363303240,0,0,train,2,test,1409159,1,-424377696223767569,-2079004717130846385
201,3535788922946983052,2025782725616837847,0,1,validation,0,train,233586,1,4852895683377629390,-8500876217062436122
202,3564352017279693522,3894889753213914831,0,0,train,1,validation,881868,1,5641206620536944105,1353148440311814386
202,3564352017279693522,3894889753213914831,0,0,train,1,validation,890942,1,6368509103970510785,842693922069975776
203,3593501498711586441,3563441379064328326,0,1,validation,0,train,336695,1,-8204737464086995490,4795691086384442560
204,3737852887852008703,6688863215238047221,0,0,train,2,test,900792,1,2188290185456156949,1568508887655256367
205,3792472115666040947,4269996212655126467,0,0,train,1,validation,1374777,1,5612894595512721956,-3268975186397819960
206,3827782272923433547,-8576518470051553133,0,0,train,1,validation,894637,1,-6606471481681691028,9178267872050664138
207,3885043683832626232,2267340872016507882,0,2,test,0,train,346881,1,-6109497576731843300,1736473458460389527
208,3918598262716066064,-8935622045230347461,0,2,test,0,train,234657,1,3739575059868620428,7287667028828130436
209,3963244474859336565,6851548903831219680,0,0,train,1,validation,880478,1,-9110078297679704894,6462977425901266063
210,4012928479916113026,1160058488024136890,0,2,test,0,train,232548,1,-1124143750259017636,-3281285646200555491
