file_id,stored_relative_path,resolved_path,resolution_method,device,class_label,expected_row_count,inserted_row_count,database_status,database_error,minimum_row_number,maximum_row_number,fingerprint_row_count,row_numbering,sample_column_count,sample_all_finite,sample_sha256,file_size_bytes,status,error
24,Ennio_Doorbell/gafgyt_attacks/combo.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ennio_Doorbell\gafgyt_attacks\combo.csv,suffix,Ennio_Doorbell,gafgyt_combo,53014,53014,done,,1,53014,53014,one_based,,,,94030426,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
25,Ennio_Doorbell/gafgyt_attacks/junk.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ennio_Doorbell\gafgyt_attacks\junk.csv,suffix,Ennio_Doorbell,gafgyt_junk,29797,29797,done,,1,29797,29797,one_based,,,,50828262,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
26,Ennio_Doorbell/gafgyt_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ennio_Doorbell\gafgyt_attacks\scan.csv,suffix,Ennio_Doorbell,gafgyt_scan,28120,28120,done,,1,28120,28120,one_based,,,,37971404,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
27,Ennio_Doorbell/gafgyt_attacks/tcp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ennio_Doorbell\gafgyt_attacks\tcp.csv,suffix,Ennio_Doorbell,gafgyt_tcp,101536,101536,done,,1,101536,101536,one_based,,,,57149667,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
28,Ennio_Doorbell/gafgyt_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Ennio_Doorbell\gafgyt_attacks\udp.csv,suffix,Ennio_Doorbell,gafgyt_udp,103933,103933,done,,1,103933,103933,one_based,,,,58507137,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
29,Philips_B120N10_Baby_Monitor/benign_traffic.csv,,unresolved,Philips_B120N10_Baby_Monitor,benign,175240,175240,done,,1,175240,175240,one_based,,,,,error,kaynak CSV çözümlenemedi
30,Philips_B120N10_Baby_Monitor/gafgyt_attacks/combo.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Philips_B120N10_Baby_Monitor\gafgyt_attacks\combo.csv,suffix,Philips_B120N10_Baby_Monitor,gafgyt_combo,58152,58152,done,,1,58152,58152,one_based,,,,103451636,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
31,Philips_B120N10_Baby_Monitor/gafgyt_attacks/junk.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Philips_B120N10_Baby_Monitor\gafgyt_attacks\junk.csv,suffix,Philips_B120N10_Baby_Monitor,gafgyt_junk,28349,28349,done,,1,28349,28349,one_based,,,,48260845,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
32,Philips_B120N10_Baby_Monitor/gafgyt_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Philips_B120N10_Baby_Monitor\gafgyt_attacks\scan.csv,suffix,Philips_B120N10_Baby_Monitor,gafgyt_scan,27859,27859,done,,1,27859,27859,one_based,,,,37535324,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
33,Philips_B120N10_Baby_Monitor/gafgyt_attacks/tcp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Philips_B120N10_Baby_Monitor\gafgyt_attacks\tcp.csv,suffix,Philips_B120N10_Baby_Monitor,gafgyt_tcp,92581,92581,done,,1,92581,92581,one_based,,,,52113658,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
34,Philips_B120N10_Baby_Monitor/gafgyt_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Philips_B120N10_Baby_Monitor\gafgyt_attacks\udp.csv,suffix,Philips_B120N10_Baby_Monitor,gafgyt_udp,105782,105782,done,,1,105782,105782,one_based,,,,59545509,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
35,Philips_B120N10_Baby_Monitor/mirai_attacks/ack.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Philips_B120N10_Baby_Monitor\mirai_attacks\ack.csv,suffix,Philips_B120N10_Baby_Monitor,mirai_ack,91123,91123,done,,1,91123,91123,one_based,,,,120882839,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
36,Philips_B120N10_Baby_Monitor/mirai_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Philips_B120N10_Baby_Monitor\mirai_attacks\scan.csv,suffix,Philips_B120N10_Baby_Monitor,mirai_scan,103621,103621,done,,1,103621,103621,one_based,,,,103452295,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
37,Philips_B120N10_Baby_Monitor/mirai_attacks/syn.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Philips_B120N10_Baby_Monitor\mirai_attacks\syn.csv,suffix,Philips_B120N10_Baby_Monitor,mirai_syn,118128,118128,done,,1,118128,118128,one_based,,,,158976651,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
38,Philips_B120N10_Baby_Monitor/mirai_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Philips_B120N10_Baby_Monitor\mirai_attacks\udp.csv,suffix,Philips_B120N10_Baby_Monitor,mirai_udp,217034,217034,done,,1,217034,217034,one_based,,,,287994126,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
39,Philips_B120N10_Baby_Monitor/mirai_attacks/udpplain.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Philips_B120N10_Baby_Monitor\mirai_attacks\udpplain.csv,suffix,Philips_B120N10_Baby_Monitor,mirai_udpplain,80808,80808,done,,1,80808,80808,one_based,,,,118674570,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
40,Provision_PT_737E_Security_Camera/benign_traffic.csv,,unresolved,Provision_PT_737E_Security_Camera,benign,62154,62154,done,,1,62154,62154,one_based,,,,,error,kaynak CSV çözümlenemedi
41,Provision_PT_737E_Security_Camera/gafgyt_attacks/combo.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_737E_Security_Camera\gafgyt_attacks\combo.csv,suffix,Provision_PT_737E_Security_Camera,gafgyt_combo,61380,61380,done,,1,61380,61380,one_based,,,,109076363,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
42,Provision_PT_737E_Security_Camera/gafgyt_attacks/junk.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_737E_Security_Camera\gafgyt_attacks\junk.csv,suffix,Provision_PT_737E_Security_Camera,gafgyt_junk,30898,30898,done,,1,30898,30898,one_based,,,,52629481,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
43,Provision_PT_737E_Security_Camera/gafgyt_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_737E_Security_Camera\gafgyt_attacks\scan.csv,suffix,Provision_PT_737E_Security_Camera,gafgyt_scan,29297,29297,done,,1,29297,29297,one_based,,,,39580175,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
44,Provision_PT_737E_Security_Camera/gafgyt_attacks/tcp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_737E_Security_Camera\gafgyt_attacks\tcp.csv,suffix,Provision_PT_737E_Security_Camera,gafgyt_tcp,104510,104510,done,,1,104510,104510,one_based,,,,58822798,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
45,Provision_PT_737E_Security_Camera/gafgyt_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_737E_Security_Camera\gafgyt_attacks\udp.csv,suffix,Provision_PT_737E_Security_Camera,gafgyt_udp,104011,104011,done,,1,104011,104011,one_based,,,,58550975,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
46,Provision_PT_737E_Security_Camera/mirai_attacks/ack.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_737E_Security_Camera\mirai_attacks\ack.csv,suffix,Provision_PT_737E_Security_Camera,mirai_ack,60554,60554,done,,1,60554,60554,one_based,,,,76849640,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
47,Provision_PT_737E_Security_Camera/mirai_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_737E_Security_Camera\mirai_attacks\scan.csv,suffix,Provision_PT_737E_Security_Camera,mirai_scan,96781,96781,done,,1,96781,96781,one_based,,,,96028732,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
48,Provision_PT_737E_Security_Camera/mirai_attacks/syn.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_737E_Security_Camera\mirai_attacks\syn.csv,suffix,Provision_PT_737E_Security_Camera,mirai_syn,65746,65746,done,,1,65746,65746,one_based,,,,83285871,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
49,Provision_PT_737E_Security_Camera/mirai_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_737E_Security_Camera\mirai_attacks\udp.csv,suffix,Provision_PT_737E_Security_Camera,mirai_udp,156248,156248,done,,1,156248,156248,one_based,,,,200357797,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
50,Provision_PT_737E_Security_Camera/mirai_attacks/udpplain.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_737E_Security_Camera\mirai_attacks\udpplain.csv,suffix,Provision_PT_737E_Security_Camera,mirai_udpplain,56681,56681,done,,1,56681,56681,one_based,,,,79817584,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
51,Provision_PT_838_Security_Camera/benign_traffic.csv,,unresolved,Provision_PT_838_Security_Camera,benign,98514,98514,done,,1,98514,98514,one_based,,,,,error,kaynak CSV çözümlenemedi
52,Provision_PT_838_Security_Camera/gafgyt_attacks/combo.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_838_Security_Camera\gafgyt_attacks\combo.csv,suffix,Provision_PT_838_Security_Camera,gafgyt_combo,57530,57530,done,,1,57530,57530,one_based,,,,102197160,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
53,Provision_PT_838_Security_Camera/gafgyt_attacks/junk.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_838_Security_Camera\gafgyt_attacks\junk.csv,suffix,Provision_PT_838_Security_Camera,gafgyt_junk,29068,29068,done,,1,29068,29068,one_based,,,,49536332,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
54,Provision_PT_838_Security_Camera/gafgyt_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_838_Security_Camera\gafgyt_attacks\scan.csv,suffix,Provision_PT_838_Security_Camera,gafgyt_scan,28397,28397,done,,1,28397,28397,one_based,,,,38452514,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
55,Provision_PT_838_Security_Camera/gafgyt_attacks/tcp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_838_Security_Camera\gafgyt_attacks\tcp.csv,suffix,Provision_PT_838_Security_Camera,gafgyt_tcp,89387,89387,done,,1,89387,89387,one_based,,,,50316596,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
56,Provision_PT_838_Security_Camera/gafgyt_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_838_Security_Camera\gafgyt_attacks\udp.csv,suffix,Provision_PT_838_Security_Camera,gafgyt_udp,104658,104658,done,,1,104658,104658,one_based,,,,58912912,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
57,Provision_PT_838_Security_Camera/mirai_attacks/ack.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_838_Security_Camera\mirai_attacks\ack.csv,suffix,Provision_PT_838_Security_Camera,mirai_ack,57997,57997,done,,1,57997,57997,one_based,,,,73553957,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
58,Provision_PT_838_Security_Camera/mirai_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_838_Security_Camera\mirai_attacks\scan.csv,suffix,Provision_PT_838_Security_Camera,mirai_scan,97096,97096,done,,1,97096,97096,one_based,,,,96333715,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
59,Provision_PT_838_Security_Camera/mirai_attacks/syn.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_838_Security_Camera\mirai_attacks\syn.csv,suffix,Provision_PT_838_Security_Camera,mirai_syn,61851,61851,done,,1,61851,61851,one_based,,,,78548822,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
60,Provision_PT_838_Security_Camera/mirai_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_838_Security_Camera\mirai_attacks\udp.csv,suffix,Provision_PT_838_Security_Camera,mirai_udp,158608,158608,done,,1,158608,158608,one_based,,,,203388721,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
61,Provision_PT_838_Security_Camera/mirai_attacks/udpplain.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Provision_PT_838_Security_Camera\mirai_attacks\udpplain.csv,suffix,Provision_PT_838_Security_Camera,mirai_udpplain,53785,53785,done,,1,53785,53785,one_based,,,,75727146,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
62,Samsung_SNH_1011_N_Webcam/benign_traffic.csv,,unresolved,Samsung_SNH_1011_N_Webcam,benign,52150,52150,done,,1,52150,52150,one_based,,,,,error,kaynak CSV çözümlenemedi
63,Samsung_SNH_1011_N_Webcam/gafgyt_attacks/combo.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Samsung_SNH_1011_N_Webcam\gafgyt_attacks\combo.csv,suffix,Samsung_SNH_1011_N_Webcam,gafgyt_combo,58669,58669,done,,1,58669,58669,one_based,,,,104015943,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
64,Samsung_SNH_1011_N_Webcam/gafgyt_attacks/junk.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Samsung_SNH_1011_N_Webcam\gafgyt_attacks\junk.csv,suffix,Samsung_SNH_1011_N_Webcam,gafgyt_junk,28305,28305,done,,1,28305,28305,one_based,,,,48261599,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
65,Samsung_SNH_1011_N_Webcam/gafgyt_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Samsung_SNH_1011_N_Webcam\gafgyt_attacks\scan.csv,suffix,Samsung_SNH_1011_N_Webcam,gafgyt_scan,27698,27698,done,,1,27698,27698,one_based,,,,37441442,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
66,Samsung_SNH_1011_N_Webcam/gafgyt_attacks/tcp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Samsung_SNH_1011_N_Webcam\gafgyt_attacks\tcp.csv,suffix,Samsung_SNH_1011_N_Webcam,gafgyt_tcp,97783,97783,done,,1,97783,97783,one_based,,,,55038941,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
67,Samsung_SNH_1011_N_Webcam/gafgyt_attacks/udp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\Samsung_SNH_1011_N_Webcam\gafgyt_attacks\udp.csv,suffix,Samsung_SNH_1011_N_Webcam,gafgyt_udp,110617,110617,done,,1,110617,110617,one_based,,,,62265519,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
68,SimpleHome_XCS7_1002_WHT_Security_Camera/benign_traffic.csv,,unresolved,SimpleHome_XCS7_1002_WHT_Security_Camera,benign,46585,46585,done,,1,46585,46585,one_based,,,,,error,kaynak CSV çözümlenemedi
69,SimpleHome_XCS7_1002_WHT_Security_Camera/gafgyt_attacks/combo.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\SimpleHome_XCS7_1002_WHT_Security_Camera\gafgyt_attacks\combo.csv,suffix,SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_combo,54283,54283,done,,1,54283,54283,one_based,,,,96595924,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
70,SimpleHome_XCS7_1002_WHT_Security_Camera/gafgyt_attacks/junk.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\SimpleHome_XCS7_1002_WHT_Security_Camera\gafgyt_attacks\junk.csv,suffix,SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_junk,28579,28579,done,,1,28579,28579,one_based,,,,48585877,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
71,SimpleHome_XCS7_1002_WHT_Security_Camera/gafgyt_attacks/scan.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\SimpleHome_XCS7_1002_WHT_Security_Camera\gafgyt_attacks\scan.csv,suffix,SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_scan,27825,27825,done,,1,27825,27825,one_based,,,,37511054,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
72,SimpleHome_XCS7_1002_WHT_Security_Camera/gafgyt_attacks/tcp.csv,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\data\interim\nbaiot_unpacked\SimpleHome_XCS7_1002_WHT_Security_Camera\gafgyt_attacks\tcp.csv,suffix,SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_tcp,88816,88816,done,,1,88816,88816,one_based,,,,49995960,error,CSV örnekleme hatası: could not convert string to float: 'MI_dir_L5_weight'
