device,class_label,fingerprint_count,raw_occurrence_count
Samsung_SNH_1011_N_Webcam,gafgyt_tcp,90454,97783
Samsung_SNH_1011_N_Webcam,gafgyt_udp,104683,110617
SimpleHome_XCS7_1002_WHT_Security_Camera,benign,42784,46585
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_combo,54283,54283
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_junk,28579,28579
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_scan,27825,27825
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_tcp,82147,88816
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_udp,98181,103720
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_ack,111480,111480
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_scan,45930,45930
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_syn,125715,125715
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_udp,151879,151879
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_udpplain,78244,78244
SimpleHome_XCS7_1003_WHT_Security_Camera,benign,17936,19528
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_combo,59398,59398
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_junk,27413,27413
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_scan,28572,28572
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_tcp,90709,98075
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_udp,97438,102980
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_ack,107187,107187
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_scan,43674,43674
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_syn,122479,122479
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_udp,157084,157084
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_udpplain,84436,84436
