component_number,scaled_hash_forward,scaled_hash_reverse,family,split_span,source_fingerprint_count,source_raw_row_count,train_fingerprint_count,validation_fingerprint_count,test_fingerprint_count,train_raw_row_count,validation_raw_row_count,test_raw_row_count,destination_split_code,destination_split,moved_fingerprint_count,moved_raw_row_count
55,-5803803432082443971,-7276830533984823254,0,2,4,4,1,0,3,1,0,3,2,test,1,1
56,-5793724807298152718,2452718520525612447,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
57,-5734403628056057181,-5084475198046555510,0,2,4,4,2,2,0,2,2,0,0,train,2,2
58,-5612702877132409391,1311647396493618364,0,3,4,4,2,1,1,2,1,1,0,train,2,2
59,-5571494317575776478,-8313329636247715068,0,2,6,6,5,0,1,5,0,1,0,train,1,1
60,-5525034523943678417,-4869577420404735157,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
61,-5481144159420549406,7409501503951549411,0,2,4,4,3,0,1,3,0,1,0,train,1,1
62,-5473490448018318091,-5391966978153705547,0,3,5,5,1,2,2,1,2,2,2,test,3,3
63,-5444730417515752777,-577967357064057144,0,2,2,2,1,0,1,1,0,1,2,test,1,1
64,-5420708313494772957,2580375841035332496,0,2,2,2,1,0,1,1,0,1,2,test,1,1
65,-5384374658838272264,3720144786509281932,0,2,2,2,1,0,1,1,0,1,2,test,1,1
66,-5335445884041721316,-1951367025988416474,0,2,2,2,1,0,1,1,0,1,0,train,1,1
67,-5243434465447170882,4652676165660608676,0,2,6,6,5,1,0,5,1,0,0,train,1,1
68,-5060569318245448105,8057129879896377277,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
69,-5002105692376364052,7707647309370171389,0,2,2,2,1,0,1,1,0,1,2,test,1,1
70,-4866195786147636608,-8947016192547020457,0,2,3,3,2,1,0,2,1,0,0,train,1,1
71,-4860134604413465819,2966911288964484248,0,2,3,3,2,1,0,2,1,0,0,train,1,1
72,-4798385175604510038,-3032207088638266149,0,2,2,2,0,1,1,0,1,1,1,validation,1,1
73,-4721336814521668861,-2613836516723204266,0,2,3,3,2,0,1,2,0,1,0,train,1,1
74,-4587355186745971001,-4248597924835812614,0,2,3,3,0,1,2,0,1,2,2,test,1,1
75,-4570088869431838491,-4919798231240555772,0,3,3,3,1,1,1,1,1,1,1,validation,2,2
76,-4486945843494689548,-3681477182870950158,0,2,4,4,2,2,0,2,2,0,1,validation,2,2
77,-4485194492637327395,-1322578171511442974,0,2,3,3,2,1,0,2,1,0,0,train,1,1
78,-4363401664638995338,8073649807599548040,0,2,2,2,1,0,1,1,0,1,2,test,1,1
79,-4288946597757695442,2372005672525483034,0,2,3,3,1,0,2,1,0,2,2,test,1,1
80,-4252120451062097081,-5818821458190181066,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
81,-4237902773104726819,-8686120376110331711,0,2,3,3,2,1,0,2,1,0,0,train,1,1
82,-4231328924358486048,-3969936779834554392,0,2,2,2,1,0,1,1,0,1,0,train,1,1
83,-4145210552099420876,6756281216947603928,0,2,4,4,2,0,2,2,0,2,2,test,2,2
84,-4139847633072450034,8273540679045148994,0,2,4,4,2,2,0,2,2,0,1,validation,2,2
85,-4095022290319293575,-1739903486841525313,0,2,4,4,2,2,0,2,2,0,0,train,2,2
86,-3997005188479780930,5193705166601999196,0,2,2,2,1,0,1,1,0,1,0,train,1,1
87,-3959354091184892896,4486621250774788368,0,2,4,4,0,2,2,0,2,2,1,validation,2,2
88,-3900146856075367004,-8057014119304589208,0,2,4,4,2,0,2,2,0,2,2,test,2,2
89,-3664302703068586732,-445272923407410638,0,2,2,2,1,1,0,1,1,0,0,train,1,1
90,-3655421104247333687,8944814767961211085,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
91,-3653280920624840151,-609200623618616589,0,2,2,2,1,1,0,1,1,0,0,train,1,1
92,-3631027894027560507,4574672315355118310,0,2,3,3,2,0,1,2,0,1,0,train,1,1
93,-3560399290911394317,-573775086307568713,0,3,3,3,1,1,1,1,1,1,1,validation,2,2
94,-3483550416883782371,-1733417901316218754,0,2,2,2,1,1,0,1,1,0,0,train,1,1
95,-3417457252626319196,9150010306039462205,0,2,7,7,6,1,0,6,1,0,0,train,1,1
96,-3366398753138914703,7668347456691617778,0,2,4,4,2,2,0,2,2,0,1,validation,2,2
97,-3311491691071639661,-7959670007081167366,0,2,5,5,1,4,0,1,4,0,1,validation,1,1
98,-3280714801574847721,-8150734337628672355,0,2,2,2,1,0,1,1,0,1,0,train,1,1
99,-3096766577424783912,-1097588060085469075,0,2,7,7,6,0,1,6,0,1,0,train,1,1
100,-2980130443761925102,-4890570236840500048,0,2,2,2,1,1,0,1,1,0,0,train,1,1
101,-2944731285385987119,5771479272013775513,0,2,2,2,1,1,0,1,1,0,0,train,1,1
102,-2735741532526675413,376033396871444034,0,2,3,3,2,1,0,2,1,0,0,train,1,1
103,-2693146546549222173,-6074013824256788974,0,2,2,2,1,0,1,1,0,1,2,test,1,1
104,-2640558321247415541,3365635434952781690,0,2,3,3,2,0,1,2,0,1,0,train,1,1
105,-2553781863988756957,3466824293985261067,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
106,-2523608333923919435,4774559314094719819,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
107,-2517756640349883944,-1347688259666187701,0,2,6,6,4,2,0,4,2,0,0,train,2,2
108,-2432516721856564957,-5618878039618573058,0,2,2,2,1,0,1,1,0,1,2,test,1,1
109,-2346596173495573985,-967382890038754495,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
110,-2327569243548294279,-5142363137864060556,0,2,3,3,2,0,1,2,0,1,0,train,1,1
111,-2294742335488780151,-5459952639428266986,0,2,4,4,1,3,0,1,3,0,1,validation,1,1
112,-2152840236928209543,6934768959506344806,0,2,2,2,1,1,0,1,1,0,0,train,1,1
113,-2126928594093377025,4880010778116098198,0,2,9,9,4,5,0,4,5,0,1,validation,4,4
114,-2033095989969378171,4061400412173600914,0,2,3,3,1,0,2,1,0,2,2,test,1,1
115,-1948265647657663718,-5828921681047943495,0,2,3,3,2,1,0,2,1,0,0,train,1,1
116,-1898807618789776435,1776474414766044798,0,2,2,2,1,0,1,1,0,1,0,train,1,1
117,-1857818483156557044,-6948713928677923222,0,2,2,2,1,1,0,1,1,0,0,train,1,1
118,-1845311769601122443,-5681331290030743078,0,2,4,4,3,0,1,3,0,1,0,train,1,1
119,-1794398468372087001,-822042683786216183,0,2,5,5,4,0,1,4,0,1,0,train,1,1
120,-1738721838658004879,-8240095173886618718,0,2,2,2,1,0,1,1,0,1,2,test,1,1
121,-1599600806593050743,-3956305105618443653,0,3,5,5,2,2,1,2,2,1,0,train,3,3
122,-1580037270845624785,5570731705278540438,0,2,6,6,4,0,2,4,0,2,0,train,2,2
123,-1453088454505146336,-4966692528702988692,0,2,3,3,1,0,2,1,0,2,2,test,1,1
124,-1336248271076594266,6362159960618639542,0,2,3,3,0,1,2,0,1,2,2,test,1,1
125,-1335507342413462194,-2896661918193665230,0,2,3,3,1,0,2,1,0,2,2,test,1,1
126,-1265618383923990990,-1624493997774761954,0,2,5,5,3,0,2,3,0,2,0,train,2,2
127,-1258092914407436190,-1473383004015343028,0,3,3,3,1,1,1,1,1,1,2,test,2,2
128,-1050502433995930518,-2822733966488313454,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
129,-1048459461358730380,-826474346612468690,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
130,-1026765311100853199,6592404361828348405,0,2,4,4,1,0,3,1,0,3,2,test,1,1
131,-944910101851252708,-4782608276847684594,0,2,5,5,3,0,2,3,0,2,0,train,2,2
132,-934172475321649316,8605760967611468472,0,2,2,2,1,0,1,1,0,1,2,test,1,1
133,-842822480376136984,6938458845704883384,0,2,3,3,2,1,0,2,1,0,0,train,1,1
134,-706547528730905313,-4529452795494557295,0,2,2,2,0,1,1,0,1,1,1,validation,1,1
135,-684681486271225897,2247060808746181681,0,2,5,5,4,1,0,4,1,0,0,train,1,1
136,-610706534406004873,3011415758614506917,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
137,-609031207109879179,-3699728244337761737,0,2,4,4,2,0,2,2,0,2,2,test,2,2
138,-463582847480788562,-9078147497935855377,0,3,5,5,3,1,1,3,1,1,0,train,2,2
139,-428066355168998799,-4051424105035811137,0,2,3,3,0,2,1,0,2,1,1,validation,1,1
140,-361414673961450561,8960647470014614508,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
141,-313119252290834802,-8669285363229927921,0,2,2,2,1,0,1,1,0,1,2,test,1,1
142,-264039915985379863,-5757296867413737346,0,2,3,3,2,0,1,2,0,1,0,train,1,1
143,-254389030949733548,8894676303156496913,0,2,3,3,1,0,2,1,0,2,2,test,1,1
144,-238956415131453478,1254434692211266291,0,3,5,5,3,1,1,3,1,1,0,train,2,2
145,-147014969010482414,7899387352140508366,0,2,4,4,2,2,0,2,2,0,1,validation,2,2
146,14037162721456141,4548857117281050214,0,2,4,4,3,0,1,3,0,1,0,train,1,1
147,50484496263365722,-3745034781640717640,0,2,5,5,4,0,1,4,0,1,0,train,1,1
148,71011139611575338,8419760702419797516,0,2,3,3,2,1,0,2,1,0,0,train,1,1
149,190266755504898162,-7127554029797526892,0,2,6,6,4,0,2,4,0,2,0,train,2,2
150,258525535653100457,-1098739689922457256,0,2,2,2,1,1,0,1,1,0,0,train,1,1
151,309665091190303595,6556610905051862498,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
152,318703226889688964,-688593147320415470,0,2,3,3,2,1,0,2,1,0,0,train,1,1
153,371106866584768506,-1323907518981678206,0,2,2,2,1,0,1,1,0,1,2,test,1,1
154,397664013011366614,-430581749919906591,0,2,9,9,8,1,0,8,1,0,0,train,1,1
155,430018731192165697,-1889975863289664556,0,2,3,3,1,0,2,1,0,2,2,test,1,1
156,454382446374173456,7586042366040947448,0,2,4,4,3,1,0,3,1,0,0,train,1,1
157,522828533965974107,-7121833981628430765,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
158,533766485585948211,9195875127370883515,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
159,545306088242111948,-7360416477496267898,0,2,4,4,0,2,2,0,2,2,2,test,2,2
160,574976628197088005,-8562248040981960603,0,2,2,2,1,0,1,1,0,1,2,test,1,1
161,613538504090911716,4256565440980281757,0,2,3,3,1,0,2,1,0,2,2,test,1,1
162,623343803716723460,-1642061048979771598,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
163,658027697855582456,3059487682906879144,0,2,4,4,3,1,0,3,1,0,0,train,1,1
164,671852449130100217,-2563443001252650506,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
165,713888858643714588,490156107575869152,0,2,3,3,2,1,0,2,1,0,0,train,1,1
166,773592501240872638,5790118611284967736,0,2,4,4,3,0,1,3,0,1,0,train,1,1
167,898938264311254221,-8915555360796900712,0,2,2,2,1,0,1,1,0,1,2,test,1,1
168,905577851514662925,6410175283197462054,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
169,1053621399201083655,-6794218447700337469,0,2,2,2,0,1,1,0,1,1,1,validation,1,1
170,1077834722532605555,-2169948434807646914,0,2,6,6,5,0,1,5,0,1,0,train,1,1
171,1116480405500922600,-7638061045446914314,0,2,3,3,2,0,1,2,0,1,0,train,1,1
172,1137092008597219104,-4835040417059587417,0,2,3,3,1,0,2,1,0,2,2,test,1,1
173,1160935575922791870,3832192084143067468,0,2,2,2,1,0,1,1,0,1,2,test,1,1
174,1172580043567491289,-4598743990719728601,0,2,5,5,3,2,0,3,2,0,0,train,2,2
175,1241049860830111828,-6392380509835969335,0,2,4,4,1,0,3,1,0,3,2,test,1,1
176,1260590578191663523,-96935293326287907,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
177,1323986624499844382,524677225121000133,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
178,1325281540449216410,-1250189881649168097,0,2,4,4,2,0,2,2,0,2,2,test,2,2
179,1516079259344746304,4589934613698408876,0,2,4,4,3,1,0,3,1,0,0,train,1,1
180,1579251246743849232,6240032657458894747,0,2,2,2,1,0,1,1,0,1,2,test,1,1
181,1608066145662548227,-1936624566998737879,0,2,7,7,5,0,2,5,0,2,0,train,2,2
182,1627366363800538937,5237097267020800036,0,2,4,4,1,0,3,1,0,3,2,test,1,1
183,1631883692261096102,4333594432619757604,0,2,3,3,2,0,1,2,0,1,0,train,1,1
184,1692180458954973453,4723458769753552085,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
185,1792986869698603262,5031442535396129837,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
186,1803361989264036201,6529058058496243283,0,2,6,6,4,0,2,4,0,2,0,train,2,2
187,2177024370129222040,-2034036337853642098,0,2,4,4,2,0,2,2,0,2,2,test,2,2
188,2206280443770957837,8890222423851139786,0,3,5,5,3,1,1,3,1,1,0,train,2,2
189,2314413488786178751,5280210489666734123,0,2,5,5,3,2,0,3,2,0,0,train,2,2
190,2401074678194196864,8402272873747424558,0,2,3,3,2,1,0,2,1,0,0,train,1,1
191,2646379087143389468,498461944099535299,0,2,2,2,1,0,1,1,0,1,2,test,1,1
192,2797615141630814579,6468924436593450380,0,2,3,3,1,0,2,1,0,2,2,test,1,1
193,2820703126113659808,964941045792526728,0,2,2,2,1,0,1,1,0,1,2,test,1,1
194,2821579165428746940,-7341549097951513774,0,2,6,6,3,3,0,3,3,0,1,validation,3,3
195,2937042125431990120,8161432614621946887,0,2,2,2,1,1,0,1,1,0,0,train,1,1
196,2939104431811045705,3142173873972086315,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
197,3109476640272981448,-1856348360441107719,0,2,2,2,1,0,1,1,0,1,0,train,1,1
198,3227419170331404434,-5811855200687956920,0,2,7,7,4,3,0,4,3,0,0,train,3,3
199,3393783818443065958,5250520551609874363,0,2,2,2,1,0,1,1,0,1,2,test,1,1
200,3434641873131355306,6868623458363303240,0,2,2,2,1,0,1,1,0,1,2,test,1,1
201,3535788922946983052,2025782725616837847,0,2,3,3,2,1,0,2,1,0,0,train,1,1
202,3564352017279693522,3894889753213914831,0,2,5,5,2,3,0,2,3,0,1,validation,2,2
203,3593501498711586441,3563441379064328326,0,2,5,5,4,1,0,4,1,0,0,train,1,1
204,3737852887852008703,6688863215238047221,0,2,3,3,1,0,2,1,0,2,2,test,1,1
205,3792472115666040947,4269996212655126467,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
206,3827782272923433547,-8576518470051553133,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
207,3885043683832626232,2267340872016507882,0,2,3,3,2,0,1,2,0,1,0,train,1,1
208,3918598262716066064,-8935622045230347461,0,2,2,2,1,0,1,1,0,1,0,train,1,1
209,3963244474859336565,6851548903831219680,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
210,4012928479916113026,1160058488024136890,0,2,2,2,1,0,1,1,0,1,0,train,1,1
211,4256059135795428933,5512312312586534036,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
212,4258100858629410602,-2312454991355671570,0,2,2,2,1,1,0,1,1,0,0,train,1,1
213,4280723130663196816,2747679080250015142,0,2,4,4,1,3,0,1,3,0,1,validation,1,1
214,4302561655936190544,6550261993245288303,0,2,3,3,2,0,1,2,0,1,0,train,1,1
215,4336746800825118379,2229045036784208807,0,2,2,2,1,0,1,1,0,1,2,test,1,1
216,4421481580486087093,-2249550079815984628,0,2,3,3,2,0,1,2,0,1,0,train,1,1
217,4489002311860570048,-97676452721821257,0,3,3,3,1,1,1,1,1,1,2,test,2,2
218,4498996533986759447,-5207573510783112419,0,3,5,5,3,1,1,3,1,1,0,train,2,2
219,4542139536505334632,-7975329734145484021,0,2,4,4,3,0,1,3,0,1,0,train,1,1
220,4636227653405902155,2759533824136218783,0,3,4,4,1,1,2,1,1,2,2,test,2,2
221,4701499068829811722,-2212482939822303319,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
222,4730591960827376245,5996019871955722594,0,2,2,2,1,0,1,1,0,1,2,test,1,1
223,4797763231512418314,-761955307140050983,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
224,4919109734522711009,4721650030910896102,0,2,2,2,1,0,1,1,0,1,0,train,1,1
225,4953643390965429421,-802664816463290175,0,2,3,3,1,0,2,1,0,2,2,test,1,1
226,5231400631061736724,-879969959100797083,0,2,5,5,3,0,2,3,0,2,0,train,2,2
227,5480138797689008271,7175529434621136410,0,2,2,2,1,0,1,1,0,1,2,test,1,1
228,5644648560773141246,8486741721381908147,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
229,5770310085684829679,-8491476314315211662,0,2,7,7,6,0,1,6,0,1,0,train,1,1
230,5791025076549567957,-9178719476928527659,0,2,4,4,3,1,0,3,1,0,0,train,1,1
231,5808931940663415653,4525445805423290541,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
232,5858401803717944921,6429035160129752036,0,2,2,2,0,1,1,0,1,1,2,test,1,1
233,5871071958147182680,-8844623086083061854,0,2,5,5,4,1,0,4,1,0,0,train,1,1
234,6135076463088644635,-7514889459306060436,0,2,7,7,6,1,0,6,1,0,0,train,1,1
235,6254644928732621098,7500661203770151228,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
236,6270149200155376304,-2866964848586992295,0,3,4,4,2,1,1,2,1,1,0,train,2,2
237,6292251465435757185,2507699557490640180,0,2,8,8,5,3,0,5,3,0,0,train,3,3
238,6442560236004440565,4386302762659127013,0,2,2,2,1,0,1,1,0,1,2,test,1,1
239,6462600081463648463,4409247938512733362,0,2,2,2,1,0,1,1,0,1,2,test,1,1
240,6502937952005899942,8150002740482344395,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
241,6503713409487610115,-1170820823786180745,0,2,2,2,1,0,1,1,0,1,0,train,1,1
242,6638674331713786349,6186915081644511619,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
243,6724348729767811129,-4528111990554500046,0,2,3,3,0,2,1,0,2,1,1,validation,1,1
244,6736326104423664353,-1017992408502420288,0,2,4,4,3,1,0,3,1,0,0,train,1,1
245,6828962683159410888,-2216889711560726383,0,2,6,6,5,1,0,5,1,0,0,train,1,1
246,6887917127866715810,5276470501892048654,0,2,4,4,3,0,1,3,0,1,0,train,1,1
247,6951888773035809839,6948732178532942480,0,2,5,5,4,0,1,4,0,1,0,train,1,1
248,7210846062267664921,5413613226487694815,0,2,3,3,2,1,0,2,1,0,0,train,1,1
249,7235306957638954522,-877535519033922244,0,2,3,3,2,1,0,2,1,0,0,train,1,1
250,7253861925978006399,-6932668527807565081,0,2,2,2,1,0,1,1,0,1,2,test,1,1
251,7378593615662715142,3862418638414779580,0,2,3,3,2,0,1,2,0,1,0,train,1,1
252,7391758494564455705,8922070432944003526,0,2,2,2,1,0,1,1,0,1,2,test,1,1
253,7400790597386044340,5448357666209468836,0,2,6,6,3,0,3,3,0,3,2,test,3,3
254,7440245908302227286,8227099343883274513,0,2,2,2,1,0,1,1,0,1,0,train,1,1
255,7460030008507600099,-6902357485842263897,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
256,7546659609689211596,4013220211903665770,0,2,4,4,2,2,0,2,2,0,1,validation,2,2
257,7578906043401863414,-2630508067223736319,0,3,7,7,4,1,2,4,1,2,0,train,3,3
258,7756613589472156195,-4773791504573257547,0,2,3,3,1,0,2,1,0,2,2,test,1,1
259,7778590955508146300,-5432850308729212861,0,2,5,5,4,0,1,4,0,1,0,train,1,1
260,7794984990109848530,-5094824500605866156,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
261,7807562466717655859,8240634821701525145,0,2,6,6,5,0,1,5,0,1,0,train,1,1
262,7893224791758454198,7905877667386938255,0,2,2,2,1,1,0,1,1,0,1,validation,1,1
263,7905778786633500255,2210760946164735667,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
264,8045641693975151561,418977518477030826,0,2,2,2,1,0,1,1,0,1,2,test,1,1
265,8065778611777484335,-1031062849894513359,0,2,6,6,5,1,0,5,1,0,0,train,1,1
266,8095112968979013070,-8510340281018368327,0,2,2,2,1,0,1,1,0,1,2,test,1,1
267,8095276658902378296,1990971747460947678,0,2,2,2,1,0,1,1,0,1,2,test,1,1
268,8107079246829329514,2207941383496626845,0,2,2,2,1,0,1,1,0,1,2,test,1,1
269,8133856606318883677,-1038037617063704929,0,2,4,4,2,2,0,2,2,0,1,validation,2,2
270,8187035171292358412,-3039779725768298086,0,2,4,4,3,0,1,3,0,1,0,train,1,1
271,8284735615103644490,-16320539663321804,0,2,2,2,1,1,0,1,1,0,0,train,1,1
272,8299028540306197766,-3818633584532086588,0,2,3,3,1,0,2,1,0,2,2,test,1,1
273,8312888281022966289,79802694723514447,0,2,6,6,4,0,2,4,0,2,0,train,2,2
274,8328446122135815430,-8230458599408415125,0,2,3,3,2,1,0,2,1,0,0,train,1,1
275,8364879685978394551,-221530987888765757,0,2,4,4,3,1,0,3,1,0,0,train,1,1
276,8400417184459961987,-3817272764625539109,0,2,3,3,1,2,0,1,2,0,1,validation,1,1
277,8452732554220233348,1775203948200453007,0,2,2,2,0,1,1,0,1,1,1,validation,1,1
278,8645369100373841800,-5237926605520406294,0,2,4,4,2,0,2,2,0,2,2,test,2,2
279,8749300477439821775,-1225968839449554824,0,2,3,3,1,0,2,1,0,2,2,test,1,1
280,9088054576390393274,-1521588277812097804,0,2,3,3,0,2,1,0,2,1,1,validation,1,1
