run_number,run_id,held_out_device_id,held_out_device,model_id,model_family,seed,task,pipeline,fold_policy,train_fingerprint_count,validation_fingerprint_count,test_fingerprint_count,test_present_family_count,mirai_metric_policy,status
16,early_lodo_05_tinyml_mlp_b0_seed2026,5,Provision_PT_838_Security_Camera,tinyml_mlp_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1164353,249102,820042,3,required,pending
17,early_lodo_05_compact_dnn_b0_seed2026,5,Provision_PT_838_Security_Camera,compact_dnn_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1164353,249102,820042,3,required,pending
18,early_lodo_05_hist_gradient_boosting_b0_seed2026,5,Provision_PT_838_Security_Camera,hist_gradient_boosting_b0,classical,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1164353,249102,820042,3,required,pending
19,early_lodo_06_tinyml_mlp_b0_seed2026,6,Samsung_SNH_1011_N_Webcam,tinyml_mlp_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1486393,318155,359368,2,not_applicable,pending
20,early_lodo_06_compact_dnn_b0_seed2026,6,Samsung_SNH_1011_N_Webcam,compact_dnn_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1486393,318155,359368,2,not_applicable,pending
21,early_lodo_06_hist_gradient_boosting_b0_seed2026,6,Samsung_SNH_1011_N_Webcam,hist_gradient_boosting_b0,classical,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1486393,318155,359368,2,not_applicable,pending
22,early_lodo_07_tinyml_mlp_b0_seed2026,7,SimpleHome_XCS7_1002_WHT_Security_Camera,tinyml_mlp_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1145094,244988,847047,3,required,pending
23,early_lodo_07_compact_dnn_b0_seed2026,7,SimpleHome_XCS7_1002_WHT_Security_Camera,compact_dnn_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1145094,244988,847047,3,required,pending
24,early_lodo_07_hist_gradient_boosting_b0_seed2026,7,SimpleHome_XCS7_1002_WHT_Security_Camera,hist_gradient_boosting_b0,classical,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1145094,244988,847047,3,required,pending
25,early_lodo_08_tinyml_mlp_b0_seed2026,8,SimpleHome_XCS7_1003_WHT_Security_Camera,tinyml_mlp_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1152607,246508,836326,3,required,pending
26,early_lodo_08_compact_dnn_b0_seed2026,8,SimpleHome_XCS7_1003_WHT_Security_Camera,compact_dnn_b0,neural,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1152607,246508,836326,3,required,pending
27,early_lodo_08_hist_gradient_boosting_b0_seed2026,8,SimpleHome_XCS7_1003_WHT_Security_Camera,hist_gradient_boosting_b0,classical,2026,family_3,pipeline_a,strict_heldout_device_fingerprint_disjoint,1152607,246508,836326,3,required,pending
