scaled_hash_forward,scaled_hash_reverse,original_hash_forward,original_hash_reverse,family_label,class_name,raw_row_count,old_grouped_split_code,old_grouped_split,new_grouped_split_code,new_grouped_split,rows_moved,file_ids
-6041639060239505705,-8645154496835471349,-6142191479145918061,799846895468897627,0,benign,1,0,train,0,train,0,51
-6041639060239505705,-8645154496835471349,-5597546184054062962,-6784160812206349395,0,benign,1,2,test,0,train,1,23
-6041639060239505705,-8645154496835471349,5769284956773144337,238302821218152713,0,benign,1,0,train,0,train,0,23
-6024845394454972548,-7110507723246390508,-8543179102630577725,-3241175470186803238,0,benign,1,0,train,2,test,1,51
-6024845394454972548,-7110507723246390508,5093499675595925569,8043813690130258549,0,benign,1,2,test,2,test,0,23
-5985606925581333383,-7940433013007905249,-4507262839588914285,6757286975291407779,0,benign,1,0,train,1,validation,1,51
-5985606925581333383,-7940433013007905249,-3858100578512809734,-8061722833992848025,0,benign,1,1,validation,1,validation,0,51
-5964827383836744753,-4174341501774499501,-7054414138401513401,-2702357537624874999,0,benign,1,0,train,0,train,0,23
-5964827383836744753,-4174341501774499501,-3197602313956922315,-4426463397674080258,0,benign,1,1,validation,0,train,1,23
-5964827383836744753,-4174341501774499501,880989921244775034,-1679629574956668579,0,benign,1,0,train,0,train,0,51
-5956462872864355276,-8656191402894766101,-7447059477530877495,1329549851326341017,0,benign,1,2,test,0,train,1,23
-5956462872864355276,-8656191402894766101,-3873189793481574715,-3197857486665351324,0,benign,1,0,train,0,train,0,23
-5956462872864355276,-8656191402894766101,-278619056675110037,5446920994439735477,0,benign,1,0,train,0,train,0,23
-5718707406185087614,8747936881313362488,-3781328863035031400,-1533581834774154682,0,benign,1,0,train,0,train,0,23
-5718707406185087614,8747936881313362488,3006390089581972338,4789650068134049481,0,benign,1,1,validation,0,train,1,23
-5718707406185087614,8747936881313362488,4001851444174373470,-325723133624968233,0,benign,1,0,train,0,train,0,51
-5696529707617343656,1354613217000796168,-7856615037854966510,3389679901875611989,0,benign,1,2,test,2,test,0,23
-5696529707617343656,1354613217000796168,734048554179946688,2464861510540378863,0,benign,1,1,validation,2,test,1,23
-5623787936648926614,5192755822447636059,-3284250632041034880,7123516201619330209,0,benign,1,2,test,0,train,1,62
-5623787936648926614,5192755822447636059,-2898918355378674607,-9076160315559369963,0,benign,1,0,train,0,train,0,62
-5623787936648926614,5192755822447636059,-752558669447070083,2703600506071910977,0,benign,1,0,train,0,train,0,62
-5535394801162362507,-381897062122244454,-5615973132719296212,5776128647220965047,0,benign,1,1,validation,0,train,1,51
-5535394801162362507,-381897062122244454,-484527298595624616,-6610789115021055199,0,benign,1,0,train,0,train,0,23
-5535394801162362507,-381897062122244454,-328238655708338041,-6370877311337424435,0,benign,1,0,train,0,train,0,51
-5535394801162362507,-381897062122244454,3132311910051090694,8430049091952536734,0,benign,1,1,validation,0,train,1,23
-5535394801162362507,-381897062122244454,3604584049652579287,6409378706905434581,0,benign,1,0,train,0,train,0,23
-5535394801162362507,-381897062122244454,8749666843314674316,805245782741653484,0,benign,1,0,train,0,train,0,23
-5373166115972368109,8363615163791543523,-8079845978336919247,4452959479305196966,0,benign,1,0,train,0,train,0,51
-5373166115972368109,8363615163791543523,-1313255795331745341,-6009144024966245542,0,benign,1,0,train,0,train,0,23
-5373166115972368109,8363615163791543523,1594390490888668165,-5444616339272888919,0,benign,1,1,validation,0,train,1,51
-5373166115972368109,8363615163791543523,4916923585890123184,7885734613818691378,0,benign,1,1,validation,0,train,1,23
-5373166115972368109,8363615163791543523,7920201233187280423,-4345070444949831760,0,benign,1,0,train,0,train,0,51
-5371778710624314399,-6564741368966506263,-2041047331676157925,226691310246671500,0,benign,1,0,train,2,test,1,51
-5371778710624314399,-6564741368966506263,-381990434804668163,7131163533291148555,0,benign,1,2,test,2,test,0,23
-5358645703379674975,5491350358097931798,-3894156560625580443,-3004187976247992312,0,benign,1,0,train,1,validation,1,23
-5358645703379674975,5491350358097931798,-3308997506110039349,-6972602862965134776,0,benign,1,1,validation,1,validation,0,51
-5336015891550243321,5675598107702469878,2784143552535511421,-4651051388279900923,0,benign,1,2,test,2,test,0,23
-5336015891550243321,5675598107702469878,4157838821468800275,-3574461834169345417,0,benign,1,0,train,2,test,1,51
-5309378978176180141,-595196030095878625,-7208485393466610253,3768075948542177917,0,benign,1,2,test,0,train,1,62
-5309378978176180141,-595196030095878625,1649854641658949591,1745340324927242969,0,benign,1,0,train,0,train,0,62
-5309378978176180141,-595196030095878625,4338631195760449444,6732908937715907382,0,benign,1,0,train,0,train,0,62
-5287106595775397234,5111564911629436443,-9058586820691543062,-7245249191806948901,0,benign,1,2,test,0,train,1,23
-5287106595775397234,5111564911629436443,-5101394322676565227,7042232934190843986,0,benign,1,0,train,0,train,0,51
-5287106595775397234,5111564911629436443,-966220427552353609,197299940120957538,0,benign,1,1,validation,0,train,1,23
-5287106595775397234,5111564911629436443,1034423095013545950,37895346382812133,0,benign,1,0,train,0,train,0,51
-5287106595775397234,5111564911629436443,2705919293072449884,-927431411924943633,0,benign,1,0,train,0,train,0,23
-5220906617733475208,-2327299315313879251,-7504734052777863830,-187722485396484928,0,benign,1,0,train,0,train,0,51
-5220906617733475208,-2327299315313879251,-5747532016288530445,7911679765269634500,0,benign,1,1,validation,0,train,1,23
-5220906617733475208,-2327299315313879251,-4172188726052458350,-1273832546159659085,0,benign,1,1,validation,0,train,1,23
-5220906617733475208,-2327299315313879251,-2100254750854017321,-1226896380639871474,0,benign,1,0,train,0,train,0,51
-5220906617733475208,-2327299315313879251,-1815526203650804981,-7175263413370018823,0,benign,1,0,train,0,train,0,51
-5040829350404825708,3381158999459731197,-6938586882298701497,8519197648476749970,0,benign,1,0,train,0,train,0,51
-5040829350404825708,3381158999459731197,-6597895586673864105,3459107660022698202,0,benign,1,2,test,0,train,1,23
-5040829350404825708,3381158999459731197,5882259439452295068,4086002935227501831,0,benign,1,0,train,0,train,0,23
-4998504985387858897,7488183549096641623,304945751146350320,-3522454727470985970,0,benign,1,0,train,1,validation,1,51
-4998504985387858897,7488183549096641623,8835493129309548707,-3079146036391154275,0,benign,1,1,validation,1,validation,0,51
-4910301806718711398,5007649208293618192,-3198600421311226392,-6841174473550298597,0,benign,1,2,test,2,test,0,23
-4910301806718711398,5007649208293618192,1812292571946874882,6057468728761324226,0,benign,1,0,train,2,test,1,51
-4865283699226768311,-425485334729653023,-4170866669231264880,-8550943440650980373,0,benign,1,0,train,1,validation,1,51
-4865283699226768311,-425485334729653023,1521676428885474865,7312576781123905029,0,benign,1,1,validation,1,validation,0,23
-4821468859218729730,-2761372073807148448,2780980181193600078,-1406686666559334244,0,benign,1,0,train,2,test,1,23
-4821468859218729730,-2761372073807148448,5636864715506099013,3180682394995160933,0,benign,1,2,test,2,test,0,51
-4819887421981645183,-9017944949174711753,-6741371104021689772,-5449459510076287253,0,benign,1,1,validation,0,train,1,23
-4819887421981645183,-9017944949174711753,203958742925823574,-232959858909534053,0,benign,1,0,train,0,train,0,23
-4819887421981645183,-9017944949174711753,342480914102278504,2408944945949556061,0,benign,1,0,train,0,train,0,51
-4774192870509419265,2248452145189529455,-6840216381600584911,3120909238250296933,0,benign,1,1,validation,0,train,1,51
-4774192870509419265,2248452145189529455,-6676713982643102672,-5534133805353467309,0,benign,1,0,train,0,train,0,51
-4774192870509419265,2248452145189529455,7731556182605748966,-6794821520481230157,0,benign,1,0,train,0,train,0,23
-4774192870509419265,2248452145189529455,9123255449516764904,-6702532887451208638,0,benign,1,0,train,0,train,0,23
-4761861513453353483,5945117542035382257,2779458486713579161,9080631670264175101,0,benign,1,0,train,2,test,1,23
-4761861513453353483,5945117542035382257,4580511877865372556,7402604354127894352,0,benign,1,2,test,2,test,0,51
-4754760180945805646,8355388646160446686,5275153258138589341,4367147121108375559,0,benign,1,0,train,2,test,1,23
-4754760180945805646,8355388646160446686,5339472251238348549,2723381435168850179,0,benign,1,2,test,2,test,0,51
-4674475460594447365,561039322900123712,1595969041517999093,-7273233816669790494,0,benign,1,0,train,1,validation,1,23
-4674475460594447365,561039322900123712,4773966409089013677,-4862402225135956109,0,benign,1,1,validation,1,validation,0,23
-4654805761333487027,7456904299503518595,2049225109211840088,3407568793305270510,0,benign,1,0,train,1,validation,1,23
-4654805761333487027,7456904299503518595,6386924402646629163,-3032955960126388230,0,benign,1,1,validation,1,validation,0,51
-4637534196551313690,1746389816775212018,-6530665024010625945,-9048249261418872298,0,benign,1,0,train,2,test,1,23
-4637534196551313690,1746389816775212018,2774160135869008040,-688005572506173722,0,benign,1,2,test,2,test,0,23
-4637534196551313690,1746389816775212018,8234879914544874085,3230877193276628201,0,benign,1,1,validation,2,test,1,23
-4581665373073618221,-1269532843454899611,-6109497576731843300,1736473458460389527,0,benign,1,0,train,2,test,1,51
