feature_index,feature_name,pipeline_a_mean,pipeline_b_mean,absolute_mean_difference,pipeline_a_scale,pipeline_b_scale,absolute_scale_difference
81,HpHp_L5_mean,213.45706070462538,213.4570606996793,4.946087983626057e-09,221.65862735025956,221.65862734441768,5.841883421453531e-09
82,HpHp_L5_std,3.6734935979445913,3.6734935974084926,5.360987209712675e-10,29.322789409216202,29.3227894068524,2.363801598903592e-09
83,HpHp_L5_magnitude,224.23330203907935,224.2333017147653,3.24314044064522e-07,223.52765086013565,223.5276508515683,8.567354825572693e-09
84,HpHp_L5_radius,1794.8763223278906,1794.8763217257915,6.020991349942051e-07,19622.95006709029,19622.9500573564,9.733888873597607e-06
85,HpHp_L5_covariance,218.54063682225973,218.54063688997357,6.77138416449452e-08,2691.1525081801783,2691.152508859087,6.789086910430342e-07
86,HpHp_L5_pcc,0.004026570766469457,0.004026570766948872,4.794151187148543e-13,0.055550806731416956,0.05555080673606437,4.647414397762617e-12
87,HpHp_L3_weight,6.881132600446119,6.881132600384528,6.159073251410518e-11,25.94430396882527,25.944303969312223,4.869527003847907e-10
88,HpHp_L3_mean,213.5234976650746,213.52349766740215,2.3275674720935058e-09,221.49093950841095,221.49093950971957,1.3086207673040917e-09
89,HpHp_L3_std,3.797894685471192,3.7978946848934134,5.777787137617452e-10,29.917823243296326,29.917823237010722,6.285603149080998e-09
90,HpHp_L3_magnitude,224.25993372537934,224.25993341225652,3.1312282544604386e-07,223.40209914216243,223.40209913532763,6.834795840404695e-09
91,HpHp_L3_radius,1863.757691097113,1863.757691494232,3.9711903809802607e-07,20281.839949722078,20281.83995840951,8.68743154569529e-06
92,HpHp_L3_covariance,222.00896407316162,222.0089640926063,1.944468408510147e-08,2766.3149080293288,2766.3149082175582,1.8822947822627611e-07
93,HpHp_L3_pcc,0.004084885941468233,0.004084885941469507,1.2741543931049648e-15,0.05832167418182755,0.0583216741715468,1.0280748474755796e-11
94,HpHp_L1_weight,17.831742403291845,17.831742401067714,2.224130213335229e-09,73.46566020063904,73.46566018493587,1.5703164990554797e-08
95,HpHp_L1_mean,213.57861923464353,213.5786192426576,8.014069408091018e-09,221.2650548647247,221.26505485976512,4.959588295605499e-09
96,HpHp_L1_std,3.997883972247918,3.9978839727883497,5.404316993917746e-10,30.590078580558735,30.590078585062074,4.5033381468329026e-09
97,HpHp_L1_magnitude,224.2457252623146,224.24572505710884,2.0520576526905643e-07,223.22162872302175,223.22162867592664,4.7095113586692605e-08
98,HpHp_L1_radius,1946.3899244011468,1946.3899243230223,7.812445801391732e-08,21102.113389704682,21102.11338902706,6.776208465453237e-07
99,HpHp_L1_covariance,225.99258544273513,225.992585436521,6.214122549863532e-09,2889.0180748714697,2889.0180752881934,4.167236511420924e-07
100,HpHp_L1_pcc,0.003797895951057684,0.003797895950286103,7.715807159858201e-13,0.06447241222132803,0.06447241222208157,7.535361223887094e-13
101,HpHp_L0.1_weight,159.09019352170932,159.09019353731685,1.5607525938321487e-08,684.0235460250663,684.0235461085373,8.34710363051272e-08
102,HpHp_L0.1_mean,213.44547954424556,213.44547954404996,1.9559820430004038e-10,221.0403550041081,221.04035500517733,1.0692247087717988e-09
103,HpHp_L0.1_std,4.887961314065794,4.887961314178073,1.1227907492639133e-10,31.586802012392454,31.586802018382865,5.9904117222231434e-09
104,HpHp_L0.1_magnitude,223.8292246764145,223.82922457025964,1.0615485734888352e-07,222.65018282872924,222.65018275224338,7.648586120012624e-08
105,HpHp_L0.1_radius,2220.1667107677404,2220.1667113058165,5.380761649576016e-07,22486.947123154747,22486.947130081116,6.926369678694755e-06
106,HpHp_L0.1_covariance,224.5073102509,224.50731035439472,1.0349472745474486e-07,3060.501561290588,3060.5015618677257,5.771375981566962e-07
107,HpHp_L0.1_pcc,0.003963419656762321,0.003963419658390536,1.628214923998783e-12,0.07721629943886062,0.07721629946033841,2.147779176731035e-11
108,HpHp_L0.01_weight,907.4950294697203,907.4950295191693,4.9448999561718665e-08,4185.611586740426,4185.611587047376,3.069499143748544e-07
109,HpHp_L0.01_mean,213.10065498724427,213.10065498877617,1.5319017165893456e-09,220.85232947400996,220.8523294754358,1.4258318969950778e-09
110,HpHp_L0.01_std,5.467545970747433,5.467545969624879,1.1225536056258534e-09,32.01415812498655,32.01415811532166,9.664887556937174e-09
111,HpHp_L0.01_magnitude,223.5494081697204,223.5494080679179,1.0180249887525861e-07,222.07735142949736,222.07735135781274,7.168461024775752e-08
112,HpHp_L0.01_radius,2619.09812119418,2619.0981209897323,2.0444758774829097e-07,23900.826180933953,23900.826178599706,2.334247255930677e-06
113,HpHp_L0.01_covariance,228.91958710375698,228.91958711944295,1.5685969856349402e-08,3390.3986176426383,3390.3986181085634,4.659250407712534e-07
114,HpHp_L0.01_pcc,0.006435952042009524,0.006435952041035791,9.737332468118254e-13,0.08462330382452696,0.0846233038226306,1.896358070574422e-12
