scaled_hash_forward,scaled_hash_reverse,original_group_count,raw_row_count,old_train_rows,old_validation_rows,old_test_rows,new_grouped_split_code,new_grouped_split
-6635622275446217611,294852485714087901,3,3,2,1,0,0,train
-6631534881733298883,1294100716991375129,2,2,1,0,1,2,test
-6592347287506831344,222089808003253951,4,4,2,0,2,2,test
-6470756520861052393,-3855318261998124849,2,2,0,1,1,2,test
-6453389729706512767,-8316645819162307475,3,3,2,1,0,0,train
-6426681728151063229,7029553947285930953,2,2,1,0,1,2,test
-6411266859599272957,8547860340034121936,2,2,1,0,1,2,test
-6323813365801449777,1570042273588164081,2,2,1,0,1,2,test
-6302750286910485208,806070160851839328,2,2,1,1,0,1,validation
-6223274391672036201,-5083975071569259317,2,2,0,1,1,2,test
-6139574574560413785,7933578146447362048,5,5,4,0,1,0,train
-6125837202702471622,-102218895637482554,2,2,1,1,0,1,validation
-6053094857704361073,9184502512584739558,4,4,3,1,0,0,train
-6041639060239505705,-8645154496835471349,3,3,2,0,1,0,train
-6024845394454972548,-7110507723246390508,2,2,1,0,1,2,test
-5985606925581333383,-7940433013007905249,2,2,1,1,0,1,validation
-5964827383836744753,-4174341501774499501,3,3,2,1,0,0,train
-5956462872864355276,-8656191402894766101,3,3,2,0,1,0,train
-5718707406185087614,8747936881313362488,3,3,2,1,0,0,train
-5696529707617343656,1354613217000796168,2,2,0,1,1,2,test
-5623787936648926614,5192755822447636059,3,3,2,0,1,0,train
-5535394801162362507,-381897062122244454,6,6,4,2,0,0,train
-5373166115972368109,8363615163791543523,5,5,3,2,0,0,train
-5371778710624314399,-6564741368966506263,2,2,1,0,1,2,test
-5358645703379674975,5491350358097931798,2,2,1,1,0,1,validation
-5336015891550243321,5675598107702469878,2,2,1,0,1,2,test
-5309378978176180141,-595196030095878625,3,3,2,0,1,0,train
-5287106595775397234,5111564911629436443,5,5,3,1,1,0,train
-5220906617733475208,-2327299315313879251,5,5,3,2,0,0,train
-5040829350404825708,3381158999459731197,3,3,2,0,1,0,train
-4998504985387858897,7488183549096641623,2,2,1,1,0,1,validation
-4910301806718711398,5007649208293618192,2,2,1,0,1,2,test
-4865283699226768311,-425485334729653023,2,2,1,1,0,1,validation
-4821468859218729730,-2761372073807148448,2,2,1,0,1,2,test
-4819887421981645183,-9017944949174711753,3,3,2,1,0,0,train
-4774192870509419265,2248452145189529455,4,4,3,1,0,0,train
-4761861513453353483,5945117542035382257,2,2,1,0,1,2,test
-4754760180945805646,8355388646160446686,2,2,1,0,1,2,test
-4674475460594447365,561039322900123712,2,2,1,1,0,1,validation
-4654805761333487027,7456904299503518595,2,2,1,1,0,1,validation
-4637534196551313690,1746389816775212018,3,3,1,1,1,2,test
-4581665373073618221,-1269532843454899611,2,2,1,0,1,2,test
-4537605515739690543,819633972065796263,3,3,2,1,0,0,train
-4521751632260903354,-2215912038162347187,2,2,1,1,0,1,validation
-4410251545369095407,-5238116161972374194,2,2,1,1,0,1,validation
-4126856148117152958,-5627956957610082831,2,2,1,0,1,2,test
-4119531002091586834,7595691125812635179,4,4,3,1,0,0,train
-4093125538984875347,5313327877361205556,2,2,1,1,0,1,validation
-4077429444311873375,7880646383866061640,2,2,1,0,1,2,test
-4048097379926713511,2099431168831262086,3,3,2,1,0,0,train
-3997749996199775843,-6112037194752780315,2,2,1,0,1,2,test
-3908946793965737130,4179273563766748169,2,2,1,0,1,2,test
-3847351632230894368,7092483716750856546,4,4,2,2,0,1,validation
-3793600132160837224,8686704977621206747,2,2,1,1,0,1,validation
-3778460789264253092,1690769159814132774,2,2,1,1,0,1,validation
-3668113508394679421,-947711048755527524,2,2,1,1,0,1,validation
-3602982802648023650,-8064819766902626380,3,3,2,0,1,0,train
-3569898765494956017,-469344456741895997,2,2,1,1,0,1,validation
-3565662167601630717,-5421521233197924170,2,2,0,1,1,2,test
-3549313269738271077,8714272116329209155,4,4,3,1,0,0,train
-3535731881695211257,5238149402025009370,2,2,1,0,1,2,test
-3530922941115092782,1704228640746289063,2,2,1,1,0,1,validation
-3517907931864387969,6796339239473593563,3,3,2,1,0,0,train
-3510651861281269838,1966172908852710651,2,2,1,0,1,2,test
-3500470341947617212,-6043666600213382878,2,2,1,1,0,1,validation
-3484140047754978577,6766121652739819481,2,2,1,0,1,2,test
-3457626233344705238,7051415061880167062,2,2,1,0,1,2,test
-3429349175924165292,7238943590919770294,2,2,1,1,0,1,validation
-3402865713552482659,-6873301688341476796,6,6,4,1,1,0,train
-3338409344031829091,7441355935046438117,3,3,1,0,2,2,test
-3333151504914531732,-2208604442635830653,3,3,2,1,0,0,train
-3322943919432004583,-625904099795980954,3,3,2,1,0,0,train
-3256225770653648771,1134822994351156557,2,2,1,1,0,1,validation
-3222245078210253334,-4483321474577325143,2,2,1,1,0,1,validation
-3163508955376092432,1034648835605355113,6,6,4,1,1,0,train
-3141166004791562882,-1369182948768003606,2,2,1,1,0,1,validation
-3140507930935318289,1377895023893335565,3,3,1,2,0,1,validation
-3131504194367617543,-85832766130524315,2,2,1,0,1,2,test
-2933236374164559561,-8975717219590784731,4,4,2,2,0,1,validation
-2857505147230733481,-8755724533195451684,2,2,1,1,0,1,validation
-2822542753415204694,-7214643489838456279,3,3,2,0,1,0,train
-2803556199987020800,-2634239244709779660,2,2,1,0,1,2,test
-2754613376515779760,-7606363548111490516,3,3,2,1,0,0,train
-2753971811042252056,8358076648342449470,2,2,1,0,1,2,test
-2751283822495646679,4134466306567437462,3,3,2,1,0,0,train
-2693893758905966939,-3129964948549748985,6,6,2,2,2,2,test
-2616027414443619856,5531292421539484440,2,2,1,1,0,1,validation
-2611584916608528871,1473630820201659597,2,2,1,1,0,1,validation
-2588034234479174244,1041076569299805504,2,2,1,0,1,2,test
-2561256939112047743,-1043315443113650826,3,3,2,1,0,0,train
-2550062050958724039,-7260281294700792588,2,2,1,1,0,1,validation
-2527160315926451782,-8731899542918073807,4,4,3,0,1,0,train
-2443579102905919865,7365093817213314876,2,2,1,1,0,1,validation
-2333342958936704888,-6159445429295512835,3,3,2,1,0,0,train
-2325331275621726515,-7151000430613321199,2,2,1,0,1,2,test
-2289729933339278694,4070889706741971277,3,3,2,0,1,0,train
-2195451584942369019,-3577600587869891842,2,2,1,0,1,2,test
-2168218788196117565,1703270485547126218,5,5,4,0,1,0,train
-2038654286217446687,1585514184196127212,2,2,1,0,1,2,test
-2023573875962913313,8284548338424453802,2,2,1,1,0,1,validation
-1977971330846030874,6213440432082997777,2,2,1,0,1,2,test
-1951562611467520763,2171045626407188395,3,3,2,1,0,0,train
-1935626967902292542,-1420578730720020507,3,3,1,0,2,2,test
-1895670411192998490,8391707020776085346,2,2,1,1,0,1,validation
-1876245871712177029,-1655674263283391563,2,2,1,0,1,2,test
-1838258738254299254,139659751681205321,2,2,1,1,0,1,validation
-1825099989492351679,4573845197452358559,2,2,1,1,0,1,validation
-1805100594575534754,-5842919305178825061,2,2,0,1,1,2,test
-1631604898515990949,2225405795171825030,3,3,1,1,1,2,test
-1548759412299291239,-4406904010828028010,2,2,1,1,0,1,validation
-1542145448276843365,-1683020051007813418,2,2,0,1,1,2,test
-1497177093790225109,8198084541487491923,3,3,1,0,2,2,test
-1399770364442334687,5052809245929864451,3,3,1,0,2,2,test
-1311394602814772082,3522596843151339326,2,2,0,1,1,2,test
-1243607267811712306,586913897645167718,3,3,2,0,1,0,train
-1171703898664082652,362565977407284942,2,2,1,1,0,1,validation
-1044471522431562059,-6308689637207922226,2,2,1,0,1,2,test
-967055592674087837,-4607166854494868479,2,2,1,1,0,1,validation
-916111873543841273,7016089044816897905,3,3,2,1,0,0,train
-830264716994444534,5232569148287577592,2,2,1,1,0,1,validation
-778060227492716733,-8733402116573992782,2,2,1,0,1,2,test
-752333289797131416,-962690806059597719,2,2,1,0,1,2,test
-737982430969170784,5751812493237128304,3,3,2,1,0,0,train
-708454799572930685,-8445419519267219900,4,4,3,1,0,0,train
-686525914646897305,2218946957611934863,2,2,1,1,0,1,validation
-656777753371923693,-4124293207259668622,3,3,2,0,1,0,train
-572639920674704509,2852802571393133991,3,3,1,2,0,1,validation
-554431199354604841,6831371529202359493,3,3,2,0,1,0,train
-512756971756974449,6050832063687122356,4,4,3,1,0,0,train
-505566197700593771,7771187163271443265,2,2,0,1,1,2,test
-433909762554240613,-2180027199730189987,2,2,1,1,0,1,validation
-398913598009216828,4866282693745503556,2,2,1,0,1,2,test
-322180888105404784,-6243199345992682348,3,3,2,0,1,0,train
-257253095745677244,98832751643869649,4,4,3,1,0,0,train
-224363124406224359,-5208514416234096888,2,2,1,1,0,1,validation
-168821035183916339,3613106426006681876,2,2,1,0,1,2,test
-150537876339378037,1163640711029153072,2,2,1,1,0,1,validation
63674554429831200,-3647724041866890217,2,2,1,1,0,1,validation
82670719396784286,-3780618890365267543,2,2,1,0,1,2,test
84138280634588090,2980083959704039669,3,3,1,0,2,2,test
129531384305539548,1634632593542310360,4,4,2,2,0,1,validation
188369641939740496,3591077641563136921,2,2,1,1,0,1,validation
204166660056515604,-8123060695242751192,3,3,0,2,1,1,validation
245944918791893003,1538005449942802960,4,4,2,1,1,0,train
271684514164999344,617495157310352774,2,2,1,0,1,2,test
317767266122535630,2822531292694814384,3,3,2,1,0,0,train
340630894452119721,5512649159450646587,2,2,1,0,1,2,test
358175979979279223,-4581080492261676509,2,2,1,1,0,1,validation
378724920550303450,5781942816101068416,2,2,1,1,0,1,validation
466240788401855309,2675567812078948098,3,3,2,0,1,0,train
578391720210926183,3411064514467754267,3,3,2,0,1,0,train
613598530959762647,-5428738011294807169,3,3,2,1,0,0,train
742065895458423598,5662908871955598402,3,3,2,1,0,0,train
784643932445657823,-945786356461934220,4,4,3,0,1,0,train
813037633063840858,-8345655905369494455,2,2,1,1,0,1,validation
824404538316906146,-1420361362347363648,2,2,1,1,0,1,validation
868851561230835316,3825682073361734056,3,3,2,1,0,0,train
923227525732368760,-230956123287862224,3,3,1,0,2,2,test
970155002936935422,-2723642312141078583,3,3,1,1,1,1,validation
1066743920744067756,6007849442708758588,5,5,3,0,2,0,train
1094757561856655601,-5994193330373440509,3,3,1,1,1,1,validation
1207024437917490882,-6217233568504720504,2,2,1,0,1,2,test
1239588363573893259,293492836866342595,2,2,1,1,0,1,validation
1260068845288971903,-195291339433668552,2,2,1,0,1,2,test
1269086357789596072,4116235940026700674,2,2,1,1,0,1,validation
1283400830312805442,-1750341456402515044,3,3,2,0,1,0,train
1305633226552675360,7395846034037273134,6,6,5,0,1,0,train
1314975529672280621,-8550452193962277417,2,2,1,0,1,2,test
1513766576679101919,-1327968297918175798,2,2,1,0,1,2,test
1528000203797430163,5638693675594513439,3,3,1,2,0,1,validation
1557524715802442948,5079047777373146435,3,3,2,0,1,0,train
1600820159834109337,-1354382802048624124,5,5,2,1,2,2,test
1658969660811354583,-4567352216805706047,2,2,1,0,1,2,test
1721040172967786588,6180054833694254220,3,3,2,0,1,0,train
1746764716466039128,7627052063223314152,3,3,2,1,0,0,train
1767104464677039677,-7498080959047731952,2,2,1,1,0,1,validation
1869011791362270315,1115152222850139608,2,2,0,1,1,1,validation
1936948894575375970,674250435459384929,2,2,0,1,1,1,validation
1952817526975336770,696815922320736531,2,2,1,0,1,2,test
1979296990013953479,8908263878109368285,2,2,0,1,1,1,validation
2051071221191849232,3385193858823580304,3,3,2,1,0,0,train
2070994721020316406,8537914877137170269,2,2,1,0,1,2,test
2099777011526903575,3716761861065740831,3,3,2,0,1,0,train
2131382110274809046,3254578837014628642,2,2,0,1,1,1,validation
2238519877259671327,3958817919675273997,2,2,1,1,0,1,validation
2378631725724010783,-928843938416948175,2,2,1,0,1,2,test
2427549865396619581,-6679299983978311800,2,2,1,1,0,1,validation
2585210069798020671,-2416718573904539059,2,2,0,1,1,1,validation
2636529278161432485,-7933914396036986094,2,2,1,1,0,1,validation
2712738284975465368,7364581001187703778,2,2,1,0,1,2,test
2718687514532728969,2322195222122492102,2,2,1,1,0,1,validation
2768426569159487365,6059722844518197915,2,2,1,1,0,1,validation
2880536988226682881,6131351387027357940,2,2,1,1,0,1,validation
3001433489278282787,7061596170039559120,2,2,1,0,1,2,test
3082760993158147255,954249459698285576,3,3,2,0,1,0,train
3112084910468347997,-4740936909276107244,3,3,2,1,0,0,train
3173465278734883437,9210967366252991437,2,2,1,0,1,2,test
3188448442343531882,2242151974934649213,2,2,1,0,1,2,test
3213314501288918916,-438352618473106048,2,2,0,1,1,1,validation
3233616184117236951,-4521569283630684931,3,3,1,0,2,2,test
3324209380164898210,8279938983411574955,3,3,2,1,0,0,train
3328335047036268610,-5809645266322894127,2,2,1,1,0,1,validation
3331627517454369978,-2697939710471938230,2,2,1,0,1,2,test
3341191522027033858,-519077833417640346,2,2,0,1,1,1,validation
3449134097251811753,3585253924860735766,2,2,1,1,0,1,validation
3534536074312312340,-1338589361381698456,2,2,1,1,0,1,validation
3584514363456215613,7949929673783122365,2,2,1,0,1,2,test
3588138702755266419,7282986694713413791,2,2,0,1,1,1,validation
3590969463456261461,5384005985384318547,2,2,1,1,0,1,validation
3671221936679739806,-3216159604702085609,4,4,3,1,0,0,train
3724512825133565827,7333522281190651260,5,5,4,1,0,0,train
3819088286965654726,3512893136271333990,2,2,1,0,1,2,test
3867492234056273177,-8378434230140647081,3,3,1,0,2,2,test
3880873222925210025,8066732984333167899,2,2,1,1,0,1,validation
3886343156127145673,6687155786562090296,6,6,5,1,0,0,train
4028901443141527606,-7514037281553735278,2,2,1,1,0,1,validation
4091677933407429271,-5657948875274290494,2,2,1,1,0,1,validation
4109561336442659236,-1565904346530185639,2,2,1,1,0,1,validation
4132096275091755614,-6915444123033338658,2,2,1,1,0,1,validation
4154122579981954752,-3444594560668381706,3,3,2,1,0,0,train
4166922127862092895,-3807279007210391297,3,3,2,1,0,0,train
4167412573156589396,-5331571182956221539,4,4,1,2,1,1,validation
4245440300290589746,-4557366878055716232,2,2,1,1,0,1,validation
4309755878464920839,6791796651682958332,2,2,1,0,1,2,test
4339672336700997933,-5713557427897831170,3,3,1,0,2,2,test
4418455262856284251,5762500354566595332,3,3,2,0,1,0,train
4502393056424014394,2373679846175533139,4,4,3,0,1,0,train
4666283755329392346,-4820403323483100174,7,7,5,2,0,0,train
4754388856474645767,-3114340709964126533,2,2,0,1,1,1,validation
4763755132436881879,8643092559900495862,2,2,1,0,1,2,test
4799788865427651917,4174681192757144819,3,3,2,1,0,0,train
4806838724698323737,-8433419676571426532,3,3,2,0,1,0,train
4851844874261763807,1472320268808262109,3,3,1,0,2,2,test
4909789057943205524,5835313880387947125,2,2,1,1,0,1,validation
4929813270804364547,-1204941421742680235,4,4,0,2,2,1,validation
4948413537102770848,-2727999438180477233,2,2,1,0,1,2,test
4952698150170475278,-1841467230676153436,2,2,1,1,0,1,validation
5017637674248800504,-3254386578471183919,5,5,4,0,1,0,train
5022954085929553519,6792057699936350536,2,2,1,1,0,1,validation
5059974875052711621,8074670672275719103,3,3,2,0,1,0,train
5087705737589637802,-3376259381879610630,2,2,1,1,0,1,validation
5120887909569365030,8271302412209646722,2,2,1,0,1,2,test
5136271329756210734,-7527003176749155848,2,2,1,0,1,2,test
5143077989865632981,5098151833526964570,2,2,1,1,0,1,validation
5178487028966770798,-7007121356687920923,3,3,2,1,0,0,train
5201190836668359126,4241823217845014804,2,2,1,1,0,1,validation
5208877920219304580,-2389839779260078109,3,3,1,1,1,1,validation
5251139015908303869,-3058751443606152787,2,2,1,0,1,2,test
5258576682618809533,4194632821100892602,2,2,1,1,0,0,train
5292656735493439412,7028473697069520271,2,2,1,1,0,0,train
5337550201235645690,-7423510205702748289,3,3,1,0,2,2,test
5357909331256520901,-3712773891015427125,2,2,1,1,0,0,train
5457119061489978444,-7726353897545725770,3,3,2,1,0,0,train
5481801284894467476,4206575402970986373,3,3,2,0,1,0,train
5505344583790793519,1459712160893291490,3,3,1,0,2,2,test
5594307480042315096,-855724432063850296,2,2,1,1,0,0,train
5612396394454921028,-8747791524703989519,2,2,1,0,1,0,train
5680282783034616382,2247748675906738592,5,5,4,1,0,0,train
5794836269920041459,-7265504753229216577,8,8,6,0,2,0,train
5810396362770183976,7896377658841701592,3,3,2,0,1,0,train
5901587224404973395,6576526008553454368,3,3,1,0,2,2,test
5948429585987298209,-7395749131321614861,3,3,2,1,0,0,train
5955936634420542134,-7068405382513684993,2,2,1,1,0,0,train
5967380300457238095,2746690374572704873,2,2,1,0,1,0,train
6024861399275617151,-6412768332201342367,3,3,1,2,0,1,validation
6077270601881602901,-180826944790441302,3,3,2,0,1,0,train
6099175710062990733,1124607588579838325,3,3,2,0,1,0,train
6147313952107842008,3083592002590522784,2,2,1,1,0,0,train
6150111316334645404,-4790162444178526920,5,5,3,1,1,0,train
6311964392416685635,-653819048237299513,3,3,2,1,0,0,train
6323419235246508619,-5338704526735685636,2,2,1,0,1,0,train
6405667767837716309,-49164335199255429,5,5,3,1,1,0,train
6459835950201537434,5513418163824182671,2,2,1,0,1,0,train
6490130867394969529,9120592793046847719,5,5,4,1,0,0,train
6593168556521130444,8967364344616669280,3,3,2,1,0,0,train
6608660299213611358,-7444575622461607789,4,4,3,0,1,0,train
6627026387289306145,8449061568039520982,5,5,3,2,0,0,train
6672893372914128497,-5477579430028390609,4,4,3,1,0,0,train
6704702584417848083,6248075286053415874,2,2,1,0,1,0,train
6747041451158400476,8697928609633532051,3,3,2,1,0,0,train
6757445088727993309,4997865077323358346,4,4,3,0,1,0,train
6789179104596480541,2308765285894836105,2,2,1,0,1,0,train
6832799592830495261,1251808355686081416,4,4,3,0,1,0,train
6865786531579047527,-3145776149858818253,6,6,4,1,1,0,train
6886154952603834341,-4598569896462366857,2,2,1,0,1,0,train
6947245921644998092,8160022582283719919,2,2,1,1,0,0,train
6951805242201477689,755874138619546277,2,2,1,1,0,0,train
6983711641291317678,5405325437148774494,2,2,1,1,0,0,train
7065249282720002773,-6084955020016155738,9,9,6,1,2,0,train
7211660351308327955,-470038632580933202,2,2,1,0,1,0,train
7493996361383810267,5255396079383085265,4,4,1,3,0,1,validation
7507316491606856778,4601067143386952819,2,2,1,0,1,0,train
7621346135304473740,-768149997111071097,3,3,2,0,1,0,train
7646814017772020568,6182883666438730641,3,3,2,0,1,0,train
7697200051332485049,-5669738667903432820,5,5,3,0,2,0,train
7722958211851197844,-2970172585607720547,2,2,1,1,0,0,train
7772295357350933632,7615075388759115810,2,2,1,1,0,0,train
7821512976983064362,-188966054583617848,6,6,4,0,2,0,train
7856908470268935152,865401431768270104,2,2,1,1,0,0,train
7907634037210864445,-3796764732716995596,4,4,3,0,1,0,train
7929423223390321907,7158688686660274434,6,6,4,1,1,0,train
7938485300106806637,8054445241650848397,2,2,1,0,1,0,train
8003683942764033988,2246041522922278782,2,2,1,0,1,0,train
8023437312190608899,-6808729018929423946,4,4,3,1,0,0,train
8026800814229710637,1084961815867295475,2,2,1,0,1,0,train
8110211707253022734,1106981749676597876,2,2,1,0,1,0,train
8217156013627991027,-1686810227214747796,3,3,2,1,0,0,train
8280563611101534589,-3320257870953803536,3,3,2,0,1,0,train
8410079666366899583,8657769117605260287,2,2,0,1,1,1,validation
8485801630609559623,717941917661320646,3,3,1,1,1,0,train
8529353543143677648,-9167497792380278636,2,2,1,0,1,0,train
8591847909883049158,-879971432328528017,2,2,1,0,1,0,train
8650489079041408516,4120497570005961693,2,2,1,0,1,0,train
8664610021420144252,6448874537348559188,2,2,1,0,1,0,train
8710802157604200644,8363253309977848551,4,4,3,0,1,0,train
8858976949984873149,-690603708325627153,2,2,1,1,0,0,train
8880260200479854407,-8886004289695475877,4,4,3,1,0,0,train
8885042913844490068,-4719007520896283542,3,3,0,2,1,1,validation
8894867965457570797,-2459054845367707821,3,3,2,0,1,0,train
9007010423060102463,2614413688449888380,3,3,2,1,0,0,train
9078911088307777762,913110288243244976,2,2,1,1,0,0,train
9082530232297001292,748254346378363064,3,3,2,1,0,0,train
9094960964065249162,1822067739037880865,3,3,2,1,0,0,train
9149699796681629002,-5770480992188233660,2,2,1,0,1,0,train
